dzoi,pubmed_id,title,subtype,affilname,affiliation_city,affiliation_country,author_names,publicationName,aggregationType,description,authkeywords,citedby_count,openaccess,score
10.1201/9781315152691,,A systematic approach to learning robot programming with ROS,bk,Case Western Reserve University,Cleveland,United States,"Newman, Wyatt S.",A Systematic Approach to Learning Robot Programming with ROS,Book,"A Systematic Approach to Learning Robot Programming with ROS provides a comprehensive, introduction to the essential components of ROS through detailed explanations of simple code examples along with the corresponding theory of operation. The book explores the organization of ROS, how to understand ROS packages, how to use ROS tools, how to incorporate existing ROS packages into new applications, and how to develop new packages for robotics and automation. It also facilitates continuing education by preparing the reader to better understand the existing on-line documentation. The book is organized into six parts. It begins with an introduction to ROS foundations, including writing ROS nodes and ROS tools. Messages, Classes, and Servers are also covered. The second part of the book features simulation and visualization with ROS, including coordinate transforms. The next part of the book discusses perceptual processing in ROS. It includes coverage of using cameras in ROS, depth imaging and point clouds, and point cloud processing. Mobile robot control and navigation in ROS is featured in the fourth part of the book The fifth section of the book contains coverage of robot arms in ROS. This section explores robot arm kinematics, arm motion planning, arm control with the Baxter Simulator, and an object-grabber package. The last part of the book focuses on system integration and higher-level control, including perception-based and mobile manipulation.",,7,0,Relevant
10.1109/IROS45743.2020.9340854,,SwarmLab: A matlab drone swarm simulator,cp,Ecole Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,"Soria, Enrica;Schiano, Fabrizio;Floreano, Dario",IEEE International Conference on Intelligent Robots and Systems,Conference Proceeding,"Among the available solutions for drone swarm simulations, we identified a lack of simulation frameworks that allow easy algorithms prototyping, tuning, debugging and performance analysis. Moreover, users who want to dive in the research field of drone swarms often need to interface with multiple programming languages. We present SwarmLab, a software entirely written in MATLAB, that aims at the creation of standardized processes and metrics to quantify the performance and robustness of swarm algorithms, and in particular, it focuses on drones. We showcase the functionalities of SwarmLab by comparing two decentralized algorithms from the state of the art for the navigation of aerial swarms in cluttered environments, Olfati-Saber's and Vasarhelyi's. We analyze the variability of the inter-agent distances and agents' speeds during flight. We also study some of the performance metrics presented, i.e. order, inter- and extra-agent safety, union, and connectivity. While Olfati-Saber's approach results in a faster crossing of the obstacle field, Vasarhelyi's approach allows the agents to fly smoother trajectories, without oscillations. We believe that SwarmLab is relevant for both the biological and robotics research communities, and for education, since it allows fast algorithm development, the automatic collection of simulated data, the systematic analysis of swarming behaviors with performance metrics inherited from the state of the art.",Aerial Systems: Applications | Agent-Based Systems | Simulation and Animation | Swarms,4,0,Relevant
,,Enhancing industrial robotics education with open-source software,cp,Michigan Technological University;Bay de Noc Community College,Houghton;Escanaba,United States;United States,"Hooker, Joshua B.;Druschke, Vincent;Kuhl, Scott A.;Sergeyev, Aleksandr;Parmar, Siddharth Yogesh;Kinney, Mark Bradley;Alaraje, Nasser;Highum, Mark","ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,"As industrial robotics continues to revolutionize manufacturing, there is increasing demand for affordable tools which support robotics education. We describe a new, open-source robotics simulation software package that is nearing completion. This free software is targeted for educators and students at the high school, community college, and university level. We expect that the software will be particularly useful for two- or four-year Electrical Engineering Technology degree programs. Our software allows students to learn how to operate robot even when access to a real robot is impossible, expensive, or limited. Similar to expensive proprietary robot simulation software, our simulator focuses on providing the basics of operating a robot, setting up and using coordinate frames, programming effector paths, and allows the robot to interact with objects in the environment. The software also simulates a teach pendant which the student uses to control the robot. A preliminary version of this work was presented at ASEE 2016 and this paper describes the significant improvements made to the software in the past year. Recent improvements include a revamped inverse kinematics system which provides smoother and more realistic robot movement, collision detection, and significantly improved teach pendant menus. Programming capabilities have also been expanded to include register expressions, conditional statements, and new instructions. Finally, our software now includes scenarios which creates predefined situations aimed at teaching specific robotics skills while also allowing students to create their own scenarios with an interactive menu system. A beta version of the software has been publicly released and we are excited to collect feedback from those in the robotics education community. This project is supported by the National Science Foundation and is a result of a multidisciplinary collaboration between Michigan Technological University and Bay de Noc Community College.",,3,0,Relevant
,,Tool support for learning computer and robot programming,cp,"Federal University of Technology, Akure;Cape Peninsula University of Technology",Akure;Cape Town,Nigeria;South Africa,"Olumide, Obe O.;Iyamu, Tiko","17th International Conference on Cognition and Exploratory Learning in Digital Age, CELDA 2020",Conference Proceeding,"Computer Programming is believed to have effect on creativity, reasoning, analytic and mathematical skills. This cognitive development is at a cost from both ends of students and teachers of computer programming. Its abstractive nature makes it difficult to teach and learn hence, the enormous hours spent in teaching, learning and developing solutions. Consequently, the less interest among the students at all levels of education. Studies have shown various attempts to ease its teaching and learning by developing user friendly interfaces and use of course video teaching clips from seasoned programmers. However, learning and teaching programming skills remains a herculean task for student and teachers respectively. It is believed that interacting with a more tangible object can improve students' interest in developing computer programming skills. A mobile robot- a situated and embodied electronic device serves this purpose hence, the use of the device that students have more interest in interacting with in this study. In this work, an interactive program evaluation framework was developed that interact with a simulated e-puck robot on V-Rep simulator platform. The study shows an increased interest and improved performance in computer programming among Computer Science students.",Artificial Intelligence | Collaboration | Learning | Mobile Robot | Programming | Python | Simulator | V-Rep,0,0,Relevant
10.1109/CISPEE47794.2021.9507239,,Electronics Education during the COVID-19 pandemic: The use of a CAD framework in distance learning assignments,cp,Instituto Superior de Engenharia de Lisboa,Lisbon,Portugal,"Campos, Francisco M.","2021 4th International Conference of the Portuguese Society for Engineering Education, CISPEE 2021",Conference Proceeding,"Computer-aided design (CAD) software is a fundamental engineering tool that is often integrated into educational programs, including those for electronics. When the COVID-19 pandemic spread worldwide in 2020, an introductory electronics course at our Institution had to be reformulated due to restrictions on holding face-to-face classes. In this scenario, traditional lab tasks were replaced by computer-based assignments that students worked on using CAD software. This paper introduces the software framework used for this purpose, which has the two features considered necessary to closely replicate a practical experiment: i) the ability to mimic breadboard circuit prototyping activities and ii) the ability to simulate the prototyped circuits. In order to enhance students' motivation for the educational activities, the assignments proposed in our course have focused on robotics applications for several years. This was conveniently accounted for by combining simulation of electronic circuits with robotics simulation. In this way, we can be reproduce the embodiment of electronic circuits and the interaction with an external environment that takes place in a real experiment. The paper describes the proposed software framework, gives examples of its use, and reports on students’ results for the first distance learning semester using the framework.",Circuit simulation | Distance learning | Educational robotics | Electronics education,0,0,Relevant
10.1088/1742-6596/1746/1/012035,,RobotDrlSim: A Real Time Robot Simulation Platform for Reinforcement Learning and Human Interactive Demonstration Learning,cp,Unité d'Informatique et d'Ingénierie des Systèmes;Shanghai Jiao Tong University,Palaiseau;Shanghai,France;China,"Sun, Te;Gong, Liang;Li, Xvdong;Xie, Shenghan;Chen, Zhaorun;Hu, Qizi;Filliat, David",Journal of Physics: Conference Series,Conference Proceeding,"Deep reinforcement learning (DRL) techniques give robotics research an AI boost in many applications. In order to simultaneously accommodate the complex robotic behaviour simulation and DRL algorithm verification, a new simulation platform, namely the RobotDrlSim, is proposed. First, we design a standardized API interfacing mechanism for coordinating diverse environments on RobotDrlSim platform, where PyBullet simulator is equipped with an API to form a physical engine for robotics simulation. Second, benchmark DRL models are included in the baseline library for evaluation. Third, real-Time human-robot interactions can be captured and imported to drive the RobotDrlSim tasks, which provide big data-stream for reinforcement learning. Experimentations show that cutting-edge DRL algorithms developed in python can be seamlessly deployed to the robots, and human interactions can be availed in training the robots. RobotDrlSim is valid for efficiently developing DRL algorithms for artificial intelligence models of robots, and it is especially suitable for the robot educational purposes.",,2,1,Relevant
10.1088/1757-899X/1031/1/012122,,Information technologies for development of educational resources in robotics,cp,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences;Technical University of Sofia",Sofia;Sofia,Bulgaria;Bulgaria,"Chikurtev, D. S.;Chikurteva, A. A.;Spasova, N. R.",IOP Conference Series: Materials Science and Engineering,Conference Proceeding,"Digital learning resources are a major part of distance learning in education. In the engineering sciences, where the training is applied and it is often necessary to conduct practical exercises, it is necessary to create both standard digital training resources and specific ones. Specific digital educational resources aim to provide a reproduction of real experiments, through digital and virtual tools. The article discusses ICT for the development of standard and specific digital resources. Software tools and applications for creating various digital resources with application in robotics are presented: Gazebo, Robot Operating System, Arduino. The process and the technologies used to create a digital resource (simulation model) through a Gazebo simulator for working with robots and sensors are described. The created digital resource could be used in various engineering fields such as robotics, embedded systems, software engineering, sensor systems, electronics and others. The resource can be distributed and shared over the Internet (Github), as well as upgraded (modified) by teachers and students.",,0,1,Relevant
10.1109/VL/HCC51201.2021.9576314,,Enabling Collaborative Distance Robotics Education for Novice Programmers,cp,Vanderbilt University,Nashville,United States,"Stein, Gordon;Ledeczi, Akos","Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",Conference Proceeding,"Distance education has gained significance recently. However, its application to robotics education presents challenges as physical access to hardware is typically required. While educational robotics simulation platforms exist, most are limited in scope or do not facilitate remote collaboration well. This paper proposes a novel networked robotics simulator for education, where students are able to collaborate in a shared 3D virtual space their robots inhabit. The framework combines these simulated worlds with a block-based programming environment to enable distance robotics education for a wider audience. The users' programs run in a web browser on their computers and they issue commands to the virtual robots through a network protocol abstracted to simple-to-use blocks. Robots send back acknowledgements and sensor values through the same protocol. Interactive environments provide students with a more immersive educational experience, and allow for automatically evaluating student performance. In addition to sharing the virtual worlds remotely, students can also develop their programs together since the block-based environment supports both synchronous and asynchronous remote collaboration. The paper presents two scenarios showing a robotics challenge and an extension of the concept to a smart city scenario controlling traffic lights. Reduced barriers to entry for both robotics education and curriculum creation will allow for a more diverse set of students and course materials.",,0,0,Relevant
10.1007/s10758-017-9322-3,,Heterogeneous Associations of Second-Graders’ Learning in Robotics Class,ar,University of Georgia,Athens,United States,"Cho, Eunji;Lee, Kyunghwa;Cherniak, Shara;Jung, Sung Eun","Technology, Knowledge and Learning",Journal,"Drawing on Latour’s (Reassembling the social: an introduction to actor–network-theory, Oxford University Press, New York, 2005), this manuscript discusses a study of a robotics class in a public, Title I elementary school. Compared with theoretical frameworks (e.g., constructivism and constructionism) dominant in the field of early childhood robotics education, the lens of ANT served to move beyond emphasizing a single element (i.e., either robotic tools or children’s work with teachers and parents) to seeing heterogeneous associations of multiple elements involved in robotics education. In these associations, human and non-human elements greatly contributed to implementing robotics activities. In particular, our analysis of three second-graders, who successfully met the instructional objectives set by our research team, revealed critical roles played by material actors (e.g., robotic manipulatives, engineer logs) and quasi-human/quasi-material actants (e.g., embodied simulation) in these children’s learning and performance. The findings of this study encourage educators to pay careful attention to multiple elements, including instructional materials and children’s bodily exploration, associated with teaching and learning.",Actor–network-theory | Early childhood education | Embodied simulation | Heterogeneous associations | Robotics education,3,0,Relevant
10.4995/riai.2017.8827,,"UWSim, an underwater robotic simulator on the cloud as educational tool",ar,Universidad Jaume I,Castellon de la Plana,Spain,"Ṕerez, Javier;Fornas, David;Marín, Rául;Sanz, Pedro J.",RIAI - Revista Iberoamericana de Automatica e Informatica Industrial,Journal,"Due to the introduction of robotic applications in the modern society, such as service robots or self-driving cars, it is possible to use this trend as motivating factor in the learning process of robotics. Several possibilities about how to use this motivation to increase learning rate are analysed, focusing on underwater robotic simulators. Moreover, a cloud learning environment able to evaluate the students with a robotic simulator is proposed as key element of the system. These kinds of tools can be used with just an Internet-capable system through a web browser, reaching a virtually unlimited amount of resources. The implemented features are used in a underwater pipe following application, creating a comparison environment on the cloud that immerse students in a competition to reach the best possible result. Finally, a first experience in a real educational environment using the proposed tool is detailed, demonstrating the viability and suitability of the proposed tool.",Autonomous vehicles | Benchmark examples | Education | Educational AIDS | Marine systems | Robotics | Telerobotics,1,1,Relevant
10.3390/educsci11010011,,Simulators in educational robotics: A review,re,International Hellenic University,Thermi,Greece,"Tselegkaridis, Sokratis;Sapounidis, Theodosios",Education Sciences,Journal,"Educational robotics (ER) seems to have a positive effect on students and, in many cases, might help them to successfully assimilate knowledge and skills. Thus, this paper focuses on ER and carries out a literature review on educational robotics simulators with Graphical User Interfaces (GUIs). The review searches for relevant papers which were published in the period 2013–2020 and extracted the characteristics of the simulators used. The simulators that we describe in this article cover various robotic technologies, offering students an easy way to engage with virtual robots and robotics mechanisms, such as wheeled robots or drones. Using these simulators, students might cover their educational needs or prepare themselves for educational robotic competitions by working in as realistic as possible conditions without hardware restrictions. In many cases, simulators might reduce the required cost to obtain a robotic system and increase availability. Focusing on educational robotics simulators, this paper presents seventeen simulators emphasizing key features such as: user’s age, robot’s type and programming language, development platform, capabilities, and scope of the simulator.",Educational robotics | Educational simulators | STEM education,5,1,Relevant
10.1109/LARS-SBR-WRE48964.2019.00086,,Programming teaching using flowcharts in a simulated environment focused on introducing practical OBR,cp,Universidade Tecnológica Federal do Paraná;Computer Engineering,Curitiba;,Brazil;Brazil,"Fabro, Joao Alberto;Junior, Eli Teixeira Paula;Dias, Alefe Felipe Goncalves Pereira;Skora, Lucas Eduardo","Proceedings - 2019 Latin American Robotics Symposium, 2019 Brazilian Symposium on Robotics and 2019 Workshop on Robotics in Education, LARS/SBR/WRE 2019",Conference Proceeding,"Educational robotics is an approach that uses robotics as a mean to aid in the learning process, fundamentally of more abstract concepts. In the practical OBR - the Brazilian Robotics Olympiad - students from ages 6 to 18 participate by constructing/programming robots, using concepts of physics, mathematics, and programming, in order to understand complex and abstract concepts. In this paper, an approach to aid in introductory programming courses, focused on students that had never had any contact with computer programming, is presented. The approach presents programming concepts using icons and 'flowcharts', and a 3D robotics simulator (V-REP), that has free educational use. The Robotic Operating System (ROS) is also used. The programs to control the robot are developed by graphically constructing fluxograms on the visual editor, and then following the execution of programs using the simulated robot, step by step. Experiments were performed with students in order to evaluate the proposed approach, and the students found the proposal intuitive and easy to understand.",Educational robotics | Programming education | Robotic simulation,3,0,Relevant
10.1109/EITT.2018.00020,,"Educational robots: Classification, characteristics, application areas and problems",cp,Shaanxi Normal University,Xi'an,China,"Pei, Zhenghua;Nie, Yong","Proceedings - 2018 7th International Conference of Educational Innovation through Technology, EITT 2018",Conference Proceeding,"Educational robots are the product of the development of advanced technology in the field of education, and the research of it is prospective and epochal. This research summarizes the classification, core characteristics, application areas and existing problems of educational robots. According to their forms and core functions, educational robots can be divided into intelligent assistant robots, virtual simulation robots, multi-functional suite robots, and non-common educational robots. Educational robots have the characteristics of flexibility, digitization, repeatability, humanization and natural interactivity. The application of educational robots is concentrated mainly in the fields of STEM education, language learning, special education and so on. However, there exist gender problem, teacher problem, technical problem and resource problem in the application of educational robots.",Application Areas | Characteristics | Classification | Educational Robots | Problems,4,0,Relevant
10.4324/9780429442827-14,,Technology in early childhood education,ch,University of Denver,Denver,United States,"Sarama, Julie;Clements, Douglas H.",Handbook of Research on the Education of Young Children,Book,"Educational technology has the potential to make multiple contributions to early education, but whether this potential is realized depends on which technology is used and how. Research on different models of educational technology-technology-assisted instruction (including practice, tutorials, tasks, tools, and games); e-books, word processing and other tools, digital manipulatives, exploratory environments, and scientific tools and simulations; programming, coding, and robotics; and combinations of these-has identified the specific benefits of each. These benefits may be especially promising for children with IEPs. Unfortunately, reality often falls short of realizing this promise. To procure these benefits, teachers require resources, support, and professional development. Fortunately, there is a growing research base for providing each.",,1,0,Relevant
10.1007/978-3-319-49058-8_68,,Development of virtual laboratory for Mechatronic systems,cp,University of Belgrade;S Technology,Belgrade;,Serbia;Serbia,"Petrović, Vladimir M.;Nikolić, Branko;Jovanović, Kosta;Potkonjak, Veljko",Advances in Intelligent Systems and Computing,Book Series,"E-learning and distance learning systems developed rapidly in the last decade. However, it can be noticed that the concept of distance education is far more implemented in social sciences than it is in engineering. The main reason lies in the fact that engineering disciplines require laboratory exercises. In other words, if we want to develop fully functional e-learning and distance learning for engineering students, we must provide them with skill acquisition. In order to overcome this problem we present a concept of software based laboratory – VLMS (Virtual Laboratory for Mechatronic Systems). VLMS currently consists of two parts – the robotics module and the hydraulics module. Detailed description of each will be provided in this paper. The virtual user interface of the particular device is identical to the real one. Simulation models are used in order to emulate system dynamics. Finally, 3D CAD graphics provides realistic and attractive visualization.",Mechatronics | Robotics | Virtual laboratory,6,0,Relevant
10.1145/3439231.3439268,,EI-Edurobot: A new proposal for empathy training through robotics,cp,University of Western Macedonia,Kozani,Greece,"Bratitsis, Tharrenos;Ziouzios, Dimitris;Dasygenis, Minas;Alevriadou, Anastasia",ACM International Conference Proceeding Series,Conference Proceeding,"Empathy is a multi-level phenomenon, referring to the ability of an individual to understand or feel what another experiences. It is a fundamental element of Education, but also of Special and Inclusive education. On the other hand, educational robotics which generally refers to teaching with the utilization of programmable devices, has gained huge momentum nowadays in educational research. This paper aims at highlighting the significance of empathy and empathy training in typical, special and inclusive education. Furthermore, the lack of approaches for active empathy training are highlighted through a brief literature review. This leads to the formation of a new proposal for an Educational Robot which will be used for empathy education via realistic simulations in real classroom settings, mainly in Early Childhood and Primary Education. Indicative lesson plans are be presented.",Educational Robotics | Empathy Training,1,0,Relevant
10.1115/IMECE2020-24492,,EXPERIENCES of TEACHING HANDS-ON CLASSES in PLACES WHERE THEY ARE RARE,cp,University of Detroit Mercy,Detroit,United States,"Das, Shuvra","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",Conference Proceeding,"Engineering education in many countries still follows a traditional model where the curriculum is broadly divided into lecture-based theory classes and laboratory classes where experiments are conducted by students using step by step instructions. This type of curriculum has heavy emphasis on theory and less on exploration, application and design. In this model, opportunities for students to do hands-on activities such as building hardware and deal with troubleshooting, writing simulation models and learning by failing, etc. are quite limited. Also, many instructors in these systems are uncomfortable to adopt more hands-on teaching for the fear of failure. In 2019, in China, I taught a freshmen-level course on Introduction to Robotics using Arduino-based hardware where the students had to work in teams to build and program a mobile robot using parts that were provided to them. In 2020, I taught two classes in India for junior/senior level students on Modeling and Simulation of Mechatronic Systems and Modeling and Simulation of Hybrid Vehicles, respectively. In both courses the students spent over 80% of class time developing models and running simulations. In all three courses, enrolling about 60 students each, extensive survey-based assessment showed students are hungry for this type of hands-on experience and would be embracing these types of classes with a lot of enthusiasm. This paper discusses the details of the three classes and results from all the survey-based assessments that were done in the courses.",,0,0,Relevant
10.1007/978-3-030-77040-2_32,,Erwhi Hedgehog: A New Learning Platform for Mobile Robotics,ch,Ass. Officine Robotiche,Rome,Italy,"Bruno, Giovanni di Dio",Lecture Notes in Networks and Systems,Book Series,"Erwhi Hedgehog is one of the smallest mobile robots. It enables mapping and vision analysis, and also displays machine learning features. Behaving like a small, curious animal, eager to explore the surroundings, the robot can be used to test navigation, mapping and localization algorithms, thus allowing the prototyping of new hardware and software for robotics. This application is particularly handy for educational robotics, at both high school and university level. On the one hand, the project is fully open source and open hardware under MIT license and available on Github, so everyone can build his/her own Erwhi Hedgehog robot with the aid of a step-by-step guide. On the other hand, students with more advanced knowledge can use it as a prototyping platform for developing new software programs and features. Erwhi uses Intel RealSense, AAEON UP Squared and Myriad X VPU technologies, with software based on the Robotic Operating System (ROS), and implements SLAM algorithms, such as RTAB-Map. The machine learning aspect is based on the OpenVINO framework and a dedicated ROS wrapper was used. The software package includes all the programs needed to create a Gazebo simulation. In terms of hardware, motor control is based on an STM32 microcontroller and the Arduino software, and the robot works on the differential drive unicycle model. Finally, Erwhi is compatible with AWS RoboMaker tools.",Erwhi | Machine learning | Robotics | ROS | SLAM | Vision analysis,0,1,Relevant
10.23919/OCEANS44145.2021.9705666,,An Underwater Simulation Server Oriented to Cooperative Robotic Interventions: The Educational Approach,cp,Universidad Jaume I,Castellon de la Plana,Spain,"Solis, Alejandro;Marin, Raul;Marina, Javier;Moreno, Francisco J.;Avila, Mario;Cruz, Marcos De La;Delgado, Daniel;Marti, Jose V.;Sanz, Pedro J.",Oceans Conference Record (IEEE),Conference Proceeding,"Experiments that require the use of Supervised Autonomous Underwater Vehicles for Intervention (I-AUV) are not easy to be performed, specially when deployed in the sea or in scenarios where the robot might face lack of space and communication (e.g. interior of pipes). Also, there are some applications where the robots need to cooperate in a closed manner, for example when transporting and assembling big pipes. In fact, these two scenarios are being studied in the context of the H2020-ElPeacetolero and TWINBOT (TWIN roBOTs for cooperative underwater intervention mission) [1] projects, being necessary to have a simulation tool that offer more realistic rendering and being compatible with the real robot Application Programming Interface.This paper presents a new underwater simulation server, implemented using video game and robotic techniques, which operates by enabling the researchers control the robots in the scene in a simple and efficient manner, while using HTTP commands that have demonstrated a huge facility in the project integration process. Moreover, this simplicity has allowed the application of the simulation server in the educational context. The use of this tool has resulted to be very adequate for the students, who have used it to learn computer science and artificial intelligence algorithms to solve problems like a cooperative transportation robotic task. As case study, four educational experiments are presented, performed by master's degree students, focusing on user interfaces, image compression for underwater channels, autonomous cooperative grasping and robot arm movement in a AUV.",,0,0,Relevant
10.3390/s22062284,35336455,PlatypOUs—A Mobile Robot Platform and Demonstration Tool Supporting STEM Education,ar,Természettudományi Kutatóközpont;Obuda University;John von Neumann Faculty of Informatics;Semmelweis Egyetem;Pazmany Peter Katolikus Egyetem;MindRove Kft,Budapest;Budapest;Budapest;Budapest;Budapest;Gyor,Hungary;Hungary;Hungary;Hungary;Hungary;Hungary,"Rácz, Melinda;Noboa, Erick;Détár, Borsa;Nemes, Ádám;Galambos, Péter;Szűcs, László;Márton, Gergely;Eigner, György;Haidegger, Tamás",Sensors,Journal,"Given the rising popularity of robotics, student-driven robot development projects are playing a key role in attracting more people towards engineering and science studies. This article presents the early development process of an open-source mobile robot platform—named PlatypOUs—which can be remotely controlled via an electromyography (EMG) appliance using the MindRove brain–computer interface (BCI) headset as a sensor for the purpose of signal acquisition. The gathered bio-signals are classified by a Support Vector Machine (SVM) whose results are translated into motion commands for the mobile platform. Along with the physical mobile robot platform, a virtual environment was implemented using Gazebo (an open-source 3D robotic simulator) inside the Robot Operating System (ROS) framework, which has the same capabilities as the real-world device. This can be used for development and test purposes. The main goal of the PlatypOUs project is to create a tool for STEM education and extracurricular activities, particularly laboratory practices and demonstrations. With the physical robot, the aim is to improve awareness of STEM outside and beyond the scope of regular education programmes. It implies several disciplines, including system design, control engineering, mobile robotics and machine learning with several application aspects in each. Using the PlatypOUs platform and the simulator provides students and self-learners with a firsthand exercise, and teaches them to deal with complex engineering problems in a professional, yet intriguing way.",Custom mobile robot | Electromyography-based control | STEM platform | Support Vector Machine Classification,0,1,Relevant
,,Open-source robotics: Investigation on existing platforms and their application in education,cp,Eastern Macedonia and Thrace Institute of Technology,Kavala,Greece,"Vrochidou, Eleni;Manios, Michail;Papakostas, George A.;Aitsidis, Charalabos N.;Panagiotopoulos, Fotis","2018 26th International Conference on Software, Telecommunications and Computer Networks, SoftCOM 2018",Conference Proceeding,"In recent years a continuous effort to foster robotics at the earliest stages of education is reported. Robots' code and hardware are subjected to licensing, a fact that places manufacturers on the top of the beneficiaries of this new trend. Hence, open-source robotics (OSR) enter the mainstream, to enable rapid development on a lower budget. This paper provides an overview of the up-to-date commercial OSR platforms that can support education, in terms of hardware, software and simulators. The aim of the paper is to provide comprehensive knowledge of the available OSR platforms, according to their most recently reported applications in education, so as to enlighten teachers, amateurs and researchers. Extensibility and applicability are investigated, and comparison of features takes place. Future challenges and possibilities are also discussed.",Education | Hardware | Open-source robotics | Simulator | Software,6,0,Relevant
