:INCLUDE?,:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL,:FULL_ARTICLE,:NOTES
NO,10.7227/IJEEE.49.3.5,An approach to motion control applications based on advanced programmable devices,"In this article a methodology for constructing a simple servo loop for motion control applications which is suitable for educational applications is presented. The entire hardware implementation is demonstrated, focusing on a microcontroller-based (μC) servo amplifier and a field programmable gate array-digital signal processor (FPGA-DSP) motion controller. A novel hybrid architecture-based digital stage is featured providing a low-cost servo drive and a high performance controller, which can be used as a basis for an industrial application. Communication between the computer and the controller is exploited in this project in order to perform a simultaneous adaptive servo tuning. The USB protocol has been put into operation in the user front-end because a high speed sampling frequency is required for the PC to acquire position feedback signals. A software interface is developed using educational software, enabling features not only limited to a motion profile but also the supervisory control and data acquisition (SCADA) topology of the system. A classical proportionalintegral- derivative controller (PID) is programmed on a DSP in order to ensure a proper tracking of the reference at both low and high speeds in a d.c. motor. Furthermore, certain blocks are embedded on an FPGA. As a result, three of the most important technologies in signal processing are featured, permitting engineering students to understand several concepts covered in theoretical courses. © Manchester University Press.",ar,2012-01-01,International Journal of Electrical Engineering and Education,DSP | Educational software | Hardware description | Motion control | Real-time workshop,2-s2.0-84861023809,,,Article,Rodríguez-Reséndiz J.,60021143;60020052,West Virginia University;Universidad Autónoma de Querétaro,Morgantown;Queretaro,United States;Mexico,5,"Rodríguez-Reséndiz, Juvenal;Mendoza-Mondragón, Fortino;Gómez-Loenzo, Roberto A.;Martínez-Hernández, M. Agustín;Mucino, Victor H.",57204683375;55360765100;14015707600;6602910511;6603665382,60020052;60020052;60020052;60020052;60021143,July 2012,207209,17966,,Journal,49,3,,243-259,0,,undefined,,5,2012,https://journals.sagepub.com/doi/10.7227/IJEEE.49.3.5,,Excluido por no robótica educativa
NO,10.7227/IJEEE.49.3.6,Overcoming the challenges of porting OpenCV to TI's embedded ARM + DSP platforms,"The growing performance and decreasing price of embedded processors are opening many doors, for both developers in the industry and in academia. However, the complexities of these systems can create serious developmental bottlenecks. Sophisticated software packages such as OpenCV can assist in both the functional development and educational aspects of these otherwise complex applications; such tools lend themselves very well to use by the academic community, in particular in providing examples of algorithm implementation. However the task of migrating this software to embedded platforms poses its own challenges. This paper will review how to mitigate some of these issues, including C++ implementation, memory constraints, floating-point support, and opportunities to maximise performance using vendor-optimised libraries and integrated accelerators or co-processors. Finally, we will introduce a new effort by Texas Instruments to optimise vision systems by running OpenCV on the C6000™ digital signal processor architecture. Benchmarks will show the advantage of using the DSP by comparing the performance of a DSP+ARM® system-on-chip (SoC) processor against an ARM-only device. © Manchester University Press.",ar,2012-01-01,International Journal of Electrical Engineering and Education,ARM | DSP | Machine vision | OpenCV | Robotics,2-s2.0-84866429369,,,Article,Coombs J.,60015272,Texas Instruments,Dallas,United States,3,"Coombs, Joseph;Prabhu, Rahul;Peake, Greg",57213206118;55360632800;57200775417,60015272;60015272;60015272,July 2012,207209,17966,,Journal,49,3,,260-274,0,,undefined,,4,2012,https://journals.sagepub.com/doi/10.7227/IJEEE.49.3.6,,Excluido por no robótica educativa
NO,10.1299/kikaic.78.2450,Development of in-situ robot motion modification method by hand-guiding instruction,"Future robotic systems intended to be used for domestic housekeeping or elderly care should flexibly adapt to the environment which is uncertain and may fluctuate. However, the current robot systems for industrial domain can operate only in the limited environment (well arranged and very little uncertainty) and require the special knowledge such as teaching-pendant and robot programming of the robot motion instructors. Obviously such requirements are not appropriate for home-use robots. This paper proposes a new method for in-situ robot motion modification by Hand-Guiding instruction. With the proposed method, a human demonstrator can intuitively modify the robot motion during its operation to adapt to environmental changes. Some daily domestic tasks are actually tried by using a lightweight pneumatic robot arm and the experimental results show the effectiveness of the proposed method. ©2012 The Japan Society of Mechanical Engineers.",ar,2012-01-01,"Nihon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of Mechanical Engineers, Part C",Direct-Teaching | Human-Robot-Interaction | Planning | Pneumatic | Robot | Teaching-Pendant,2-s2.0-84864425216,,,Article,Tsusaka Y.,,,,,4,"Tsusaka, Yuko;Okazaki, Yasunao;Komatsu, Mayumi;Yokokohji, Yasuyoshi",55324588400;55325770500;55325574000;55957593800,;;;,2012,3875024,110132,,Journal,78,791,,2450-2461,1,,undefined,,0,2012,https://www.jstage.jst.go.jp/article/kikaic/78/791/78_2450/_article/-char/ja/,,Excluido por no robótica educativa
NO,10.7227/IJEEE.49.3.3,Development of brushless d.c. motor drive system for teaching purposes using various PWM control techniques,"In this paper, a test bench was developed for teaching purposes to enhance power electronics and real time control of a brushless d.c. motor. Particular emphasis was placed on PWM techniques and theoretical signal generation using a MATLAB/Simulink environment and experimentally with a DSP programming kit. First, a model was developed in MATLAB/Simulink derived from electrical and mechanical equations for the 120° mode. The control strategies implemented involved two PWM techniques, namely soft and hard switching. The system was built in such a way that students are able to carry out modelling and confirm their results through the test bench using these techniques. The approach used has been effective in generating student satisfaction. Improvements in student learning are evident with regard to the drive control applications, either as a variable speed drive or in embedded systems. © Manchester University Press.",ar,2012-01-01,International Journal of Electrical Engineering and Education,Brushless d.c. motor | DSP | Electrical engineering education | Motor control | PWM Techniques,2-s2.0-84866359455,,,Article,Tadrist N.,60068750;60068746,Université Mouloud Mammeri de Tizi Ouzou;Université des Sciences et de la Technologie Houari Boumediene,Tizi Ouzou;Algiers,Algeria;Algeria,3,"Tadrist, Nadia;Zeroug, Houcine;Boukais, Boussad",36449416300;6506962208;6507428232,60068746;60068746;60068750,July 2012,207209,17966,,Journal,49,3,,210-231,0,,undefined,,6,2012,https://journals.sagepub.com/doi/10.7227/IJEEE.49.3.3,,Excluido por no educación
NO,10.1007/s10489-010-0257-9,A new approach to simultaneous localization and map building with implicit model learning using neuro evolutionary optimization,"This paper presents Neuro-Evolutionary Optimization SLAM (NeoSLAM) a novel approach to SLAM that uses a neural network (NN) to autonomously learn both a nonlinear motion model and the noise statistics of measurement data. The NN is trained using evolutionary optimization to learn the residual error of the motion model, which is then added to the odometry data to obtain the full motion model estimate. Stochastic optimization is used, to accommodate any kind of cost function. Prediction and correction are performed simultaneously within our neural framework, which implicitly integrates the motion and sensor models. An evolutionary programming (EP) algorithm is used to progressively refine the neural model until it generates a trajectory that is most consistent with the actual sensor measurements. During this learning process, NeoSLAM does not require any prior knowledge of motion or sensor models and shows consistently good performance regardless of the robot and the sensor noise type. Furthermore, NeoSLAM does not require the data association step at loop closing which is crucial in most other SLAM algorithms, but can still generate an accurate map. Experiments in various complex environments with widely-varying types of noise show that the learning capability of NeoSLAM ensures performance that is consistently less sensitive to noise and more accurate than that of other SLAM methods. © 2010 Springer Science+Business Media, LLC.",ar,2012-01-01,Applied Intelligence,Evolutionary algorithm | Learning and evolution | Mobile robot | Motion model | Neural network | Sensor model | SLAM,2-s2.0-84863022806,,,Article,Kang J.G.,60032330,Pohang University of Science and Technology,Pohang,South Korea,4,"Kang, Jeong Gwan;Kim, Sunhyo;An, Su Yong;Oh, Se Young",35145928700;16024641100;55953711900;7404103488,60032330;60032330;60032330;60032330,January 2012,0924669X,23674,,Journal,36,1,,242-269,0,MKE,undefined,Ministry of Knowledge Economy,21,2012,https://link.springer.com/article/10.1007%2Fs10489-010-0257-9,,Excluido por no educación
NO,10.1007/s10846-011-9568-2,Path planning strategies for UAVS in 3D environments,"The graph-search algorithms developed between 60s and 80s were widely used in many fields, from robotics to video games. The A*algorithm shall be mentioned between some of the most important solutions explicitly oriented to motion-robotics, improving the logic of graph search with heuristic principles inside the loop. Nevertheless, one of the most important drawbacks of the A*algorithm resides in the heading constraints connected with the grid characteristics. Different solutions were developed in the last years to cope with this problem, based on post-processing algorithms or on improvements of the graph-search algorithm itself. A very important one is Theta that refines the graph search allowing to obtain paths with ""any"" heading. In the last two years, the Flight Mechanics Research Group of Politecnico di Torino studied and implemented different path planning algorithms. A Matlab based planning tool was developed, collecting four separate approaches: geometric predefined trajectories, manual waypoint definition, automatic waypoint distribution (i.e. optimizing camera payload capabilities) and a comprehensive A*-based algorithm used to generate paths, minimizing risk of collision with orographic obstacles. The tool named PCube exploits Digital Elevation Maps (DEMs) to assess the risk maps and it can be used to generate waypoint sequences for UAVs autopilots. In order to improve the A*-based algorithm, the solution is extended to tri-dimensional environments implementing a more effective graph search (based on Theta). In this paper the application of basic Thetato tri-dimensional path planning will be presented. Particularly, the algorithm is applied to orographic obstacles and in urban environments, to evaluate the solution for different kinds of obstacles. Finally, a comparison with the A*algorithm will be introduced as a metric of the algorithm performances. © 2011 Springer Science+Business Media B.V.",ar,2012-01-01,Journal of Intelligent and Robotic Systems: Theory and Applications,3D environments | A | Path planning | ThetaUAVs,2-s2.0-84855432288,,,Article,De Filippis L.,60012162,Politecnico di Torino,Turin,Italy,3,"De Filippis, Luca;Guglieri, Giorgio;Quagliotti, Fulvia",36612838300;6701332943;6603855231,60012162;60012162;60012162,January 2012,9210296,24360,15730409,Journal,65,1-4,,247-264,0,,undefined,Regione Piemonte,126,2012,https://link.springer.com/article/10.1007%2Fs10846-011-9568-2,,Excluido por no educación
NO,10.1145/2065327.2065335,"Architectural robotics, inevitably","Researchers suggest that architectural robotics embedded into the built environment will support and augment regular work, learning, healthcare, entertainment, and leisure activities. They state that architectural robotics can empower people of all ages to live more independently in medical facilities and homes, adapting to their changing needs and capabilities. Architectural robotics can also physically morph to support more and different physical and digital tasks and social, collaborative interactions in work environments. Architectural robotics located inside or outside the formal classroom in learning environments can afford interactive, creative exploration, and inquiry. Architectural robotics also has the potential to respond effectively to a variety of disasters of natural and human origins in urban environments, providing support for victims assembling, seeking treatment, and planning recovery operations.",ar,2012-01-01,Interactions,,2-s2.0-84863575484,,,Article,Gross M.,60027950;60026610,Carnegie Mellon University;Clemson University,Pittsburgh;Clemson,United States;United States,2,"Gross, Mark D.;Green, Keith Evan",7403744359;27867649900,60027950;60026610,January 2012,10725520,4000148705,15583449,Trade Journal,19,1,,28-33,0,,undefined,,18,2012,https://doi.org/10.1145/2065327.2065335,,Excluido por no robótica educativa
NO,10.14198/jopha.2012.6.1.06,Learning in real robots from environment interaction,"This article describes a proposal to achieve fast robot learning from its interaction with the environment. Our proposal will be suitable for continuous learning procedures as it tries to limit the instability that appears every time the robot encounters a new situation it had not seen before. On the other hand, the user will not have to establish a degree of exploration (usual in reinforcement learning) and that would prevent continual learning procedures. Our proposal will use an ensemble of learners able to combine dynamic programming and reinforcement learning to predict when a robot will make a mistake. This information will be used to dynamically evolve a set of control policies that determine the robot actions.",ar,2012-01-01,Journal of Physical Agents,Continuous robot learning | Learning from environment interaction | Reinforcement learning | Robot adaptation,2-s2.0-84865132439,,,Article,Quintía P.,60028419;60027800;60023610,Universidad de Santiago de Compostela;Universidad de Alcalá;Universidade da Coruña,Santiago de Compostela;Alcala de Henares;A Coruna,Spain;Spain;Spain,5,"Quintía, P.;Iglesias, R.;Rodríguez, M. A.;Regueiro, C. V.;Valdés, F.",26768104300;8432303100;7404259571;6701842650;24723100300,60028419;60028419;60028419;60023610;60027800,2012,18880258,17300154721,,Journal,6,1,,43-51,1,,undefined,,2,2012,http://rua.ua.es/dspace/handle/10045/21361,,Excluido por no educación
NO,10.1007/s12369-012-0162-y,Learning of Planning Models for Dexterous Manipulation Based on Human Demonstrations,"In the human environment service robots have to be able to manipulate autonomously a large variety of objects in a workspace restricted by collisions with obstacles, self-collisions and task constraints. Planning enables the robot system to generalize predefined or learned manipulation knowledge to new environments. For dexterous manipulation tasks the manual definition of planning models is time-consuming and error-prone. In this work, planning models for dexterous tasks are learned based on multiple human demonstrations using a general feature space including automatically generated contact constraints, which are automatically relaxed to consider the correspondence problem. In order to execute the learned planning model with different objects, the contact location is transformed to given object geometry using morphing. The initial, overspecialized planning model is generalized using a previously described, parallelized optimization algorithm with the goal to find a maximal subset of task constraints, which admits a solution to a set of test problems. Experiments on two different, dexterous tasks show the applicability of the learning approach to dexterous manipulation tasks. © 2012 Springer Science & Business Media BV.",ar,2012-01-01,International Journal of Social Robotics,Machine learning | Motion planning | Programming by demonstration,2-s2.0-84868027343,,,Article,Jäkel R.,60102538;60084798,Karlsruher Institut für Technologie;FZI Forschungszentrum Informatik,Karlsruhe;Karlsruhe,Germany;Germany,6,"Jäkel, Rainer;Schmidt-Rohr, Sven R.;Rühl, Steffen W.;Kasper, Alexander;Xue, Zhixing;Dillmann, Rüdiger",23568193700;23568319800;35103462200;36337793500;24537821300;35599949300,60102538;60102538;60084798;60102538;60084798;60102538,November 2012,18754791,19500157063,18754805,Journal,4,4,,437-448,0,DFG,126239,Deutsche Forschungsgemeinschaft,13,2012,https://link.springer.com/article/10.1007%2Fs12369-012-0162-y,,Excluido por no educación
SI,10.1109/TE.2012.2190071,Algorithmic Bricks: A tangible robot programming tool for elementary school students,"Tangible programming tools enable children to easily learn the programming process, previously considered to be difficult for them. While various tangible programming tools have been developed, there is still a lack of available tools to help students experience the general programming process. This study therefore developed a tool called Algorithmic Bricks (A-Bricks), to improve the programming language experience by considering and utilizing characteristics of procedural language. Specifically, elements such as sequence, repetition, condition, function, and parameter were used to develop A-Bricks. In addition, this study observed the benefits of A-Bricks and confirmed its potential as a tangible educational programming tool by comparing and analyzing elementary school students using A-Bricks to control groups using Scratch. © 2012 IEEE.",ar,2012-01-01,IEEE Transactions on Education,Computer science education | Educational robot | Procedural programming | Tangible user interface,2-s2.0-84898802347,,,Article,Kwon D.,60005273,Korea University,Seoul,South Korea,4,"Kwon, Dai Young;Kim, Han Sung;Shim, Jae Kwoun;Lee, Won Gyu",15520920800;57203629768;56118822900;56164989400,60005273;60005273;60005273;60005273,November 2012,189359,17344,,Journal,55,4,,474-479,0,NRF,NRF-2011-358-B00037,National Research Foundation of Korea,26,2012,https://ieeexplore.ieee.org/document/6172535,https://drive.google.com/file/d/1KHZhcYFOgp2gmznMsx_e-meH3cCQXhOe/view?usp=sharing,
