doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title,text_to_proc
10.5755/j01.eee.18.9.2825,ar,Burbaite R.,Kaunas University of Technology,Elektronika ir Elektrotechnika,Journal,1,0,difficult motivate learner learn abstract computer science topic eg data structure algorithm program adequate level engagement present process construct lego robot call drawbot drawing robot enable create learn environment demonstrate visually solution graphbase computer science task teach programming research confirm importance use robotbased environment teach know far literature learn extend know approach provide technical characteristic process create learn environment real setting b smoothly integrate different phase process consider entirety support constructivist learn model doi httpdxdoiorgjeee ,lego nxt robotbase learn environment teach computer science topic ,Burbaite R. lego nxt robotbase learn environment teach computer science topic  difficult motivate learner learn abstract computer science topic eg data structure algorithm program adequate level engagement present process construct lego robot call drawbot drawing robot enable create learn environment demonstrate visually solution graphbase computer science task teach programming research confirm importance use robotbased environment teach know far literature learn extend know approach provide technical characteristic process create learn environment real setting b smoothly integrate different phase process consider entirety support constructivist learn model doi httpdxdoiorgjeee  ar Kaunas University of Technology Elektronika ir Elektrotechnika Journal 0
10.1080/03043797.2012.725711,ar,Laverty D.,Queen's University Belfast,European Journal of Engineering Education,Journal,0,0,paper present new laboratorybase module embed system teaching address current lack consideration link hardware development software implementation course content student evaluation laboratory environment course introduce second year undergraduate student interface hardware software programming embed devices case pic originally peripheral interface controller later rebrande programmable intelligent computer microcontroller hardware development board design use laboratory module present hand laboratory experience student encourage engage practical problemsolving exercise develop programming skill across broad range scenario ,embed c programming practical course introduce programmable microprocessor ,Laverty D. embed c programming practical course introduce programmable microprocessor  paper present new laboratorybase module embed system teaching address current lack consideration link hardware development software implementation course content student evaluation laboratory environment course introduce second year undergraduate student interface hardware software programming embed devices case pic originally peripheral interface controller later rebrande programmable intelligent computer microcontroller hardware development board design use laboratory module present hand laboratory experience student encourage engage practical problemsolving exercise develop programming skill across broad range scenario  ar Queen's University Belfast European Journal of Engineering Education Journal 0
10.1007/s00779-011-0404-2,ar,Horn M.,Northwestern University,Personal and Ubiquitous Computing,Journal,1,0,research involve tangible interaction child often focus tangible may support improve learn compare traditional method paper review three research study involve tangible computer programming address question variety learning environment diverse population child study identify situation tangible interaction seem offer advantage learn however also identify situation tangible interaction prove less useful alternative interaction style provide appropriate medium learning thus advocate hybrid approachone offer teacher learner flexibility select appropriate interaction style meet need specific situation ,tangible interaction learn case hybrid approach ,Horn M. tangible interaction learn case hybrid approach  research involve tangible interaction child often focus tangible may support improve learn compare traditional method paper review three research study involve tangible computer programming address question variety learning environment diverse population child study identify situation tangible interaction seem offer advantage learn however also identify situation tangible interaction prove less useful alternative interaction style provide appropriate medium learning thus advocate hybrid approachone offer teacher learner flexibility select appropriate interaction style meet need specific situation  ar Northwestern University Personal and Ubiquitous Computing Journal 0
10.1007/s13218-011-0148-1,ar,Kirsch A.,"FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen",KI - Kunstliche Intelligenz,Journal,0,0,zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamische umgebungen anzupassen immer wichtiger die robot learning language roll schafft die grundlage fr eine nahtlose integration von lernen robotersteuerungsprogramme sie tenth lt konstrukte zum definieren und automatischen sammeln von erfahrungsdaten sowie zum definieren und ausfhren von lernproblemen durch ihre modularit kann roll mit verschiedenen lernalgorithmen verwendet werden ,integration programming learn control language autonomous robot ,"Kirsch A. integration programming learn control language autonomous robot  zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamische umgebungen anzupassen immer wichtiger die robot learning language roll schafft die grundlage fr eine nahtlose integration von lernen robotersteuerungsprogramme sie tenth lt konstrukte zum definieren und automatischen sammeln von erfahrungsdaten sowie zum definieren und ausfhren von lernproblemen durch ihre modularit kann roll mit verschiedenen lernalgorithmen verwendet werden  ar FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen KI - Kunstliche Intelligenz Journal 0"
10.1007/s10015-011-0996-7,ar,Pagliarini L.,Technical University of Denmark;Accademia di belli arti-Macerata,Artificial Life and Robotics,Journal,0,0,article try describe modular interactive tile system valuable tool introduce student interactive parallel distribute processing programming do provide hanson educational tool allow change representation abstract problem relate design interactive parallel distribute system indeed seem bring series goal education parallel programming distributedness communication protocol master dependency software behavioral model adaptive interactivity feedback connectivity topology island modeling user multiuser interaction rarely find tool finally introduce system modular interactive tile tool easy fast flexible hanson exploration issue example show implement interactive parallel distribute processing different behavioral software model open loop randomnessbase rulebase user interactionbase ai alifebase software ,educational tool interactive parallel distribute processing ,Pagliarini L. educational tool interactive parallel distribute processing  article try describe modular interactive tile system valuable tool introduce student interactive parallel distribute processing programming do provide hanson educational tool allow change representation abstract problem relate design interactive parallel distribute system indeed seem bring series goal education parallel programming distributedness communication protocol master dependency software behavioral model adaptive interactivity feedback connectivity topology island modeling user multiuser interaction rarely find tool finally introduce system modular interactive tile tool easy fast flexible hanson exploration issue example show implement interactive parallel distribute processing different behavioral software model open loop randomnessbase rulebase user interactionbase ai alifebase software  ar Technical University of Denmark;Accademia di belli arti-Macerata Artificial Life and Robotics Journal 0
10.1109/TE.2011.2155066,ar,Pinto M.,Universidade do Porto,IEEE Transactions on Education,Journal,0,0,inspiration paper come successful experiment conduct student mobile robot course fifth year integrate master program department electrical computer engineering faculty engineering university porto feud porto portugal one topic mobile robot course localization mobile robot use extended salman filter lego nxt give student opportunity study concept localization experiment come within framework teach localization concept mobile robotic focus primarily explain salman filter concept involve specific tool develop author base lego nxt technology work present could helpful guide teaching concept relate localization mobile robotic ensure adequate understanding concept use extend salman filter ek legofeup robot describe build use lego mindstorm nxt test simulation real scenario base result obtain author conclude developed tool effective motivate student implementation tool structure mobile robot course criterion student assessment describe paper ,localization mobile robot use extended salman filter lego nxt ,Pinto M. localization mobile robot use extended salman filter lego nxt  inspiration paper come successful experiment conduct student mobile robot course fifth year integrate master program department electrical computer engineering faculty engineering university porto feud porto portugal one topic mobile robot course localization mobile robot use extended salman filter lego nxt give student opportunity study concept localization experiment come within framework teach localization concept mobile robotic focus primarily explain salman filter concept involve specific tool develop author base lego nxt technology work present could helpful guide teaching concept relate localization mobile robotic ensure adequate understanding concept use extend salman filter ek legofeup robot describe build use lego mindstorm nxt test simulation real scenario base result obtain author conclude developed tool effective motivate student implementation tool structure mobile robot course criterion student assessment describe paper  ar Universidade do Porto IEEE Transactions on Education Journal 0
10.1109/TE.2012.2182998,ar,Mattmann C.,University of Southern California;Jet Propulsion Laboratory,IEEE Transactions on Education,Journal,0,0,embed software system grow number complexity importance modern world correspond need teach computer science student effectively engineer system arise embed software system control cell phone aircraft medical equipment subject requirement constraint significantly different encounter standard desktop computing environment example embed system must frequently address challenge arise severe resource restriction eg low memory network bandwidth heterogeneous hardware platform safetycritical operation software architecture show effective mean cope issue yet traditional course embed software development rarely focus software architectural abstraction instead concentrate lowerlevel issue program language hardware interface since university southern california los angeles unique course develop affords student opportunity gain experience insight develop software architecture embed system heart course middleware platform prismmw help student use software architectural principle construct embed system understand important challenge embed system domain paper describe course explanation evaluation four year class project weave together course middleware platform relationship three key pedagogical goal drive formulation course curriculum ,middleware platform provide mobile embed computing instruction software engineering student ,Mattmann C. middleware platform provide mobile embed computing instruction software engineering student  embed software system grow number complexity importance modern world correspond need teach computer science student effectively engineer system arise embed software system control cell phone aircraft medical equipment subject requirement constraint significantly different encounter standard desktop computing environment example embed system must frequently address challenge arise severe resource restriction eg low memory network bandwidth heterogeneous hardware platform safetycritical operation software architecture show effective mean cope issue yet traditional course embed software development rarely focus software architectural abstraction instead concentrate lowerlevel issue program language hardware interface since university southern california los angeles unique course develop affords student opportunity gain experience insight develop software architecture embed system heart course middleware platform prismmw help student use software architectural principle construct embed system understand important challenge embed system domain paper describe course explanation evaluation four year class project weave together course middleware platform relationship three key pedagogical goal drive formulation course curriculum  ar University of Southern California;Jet Propulsion Laboratory IEEE Transactions on Education Journal 0
10.1109/TE.2012.2190071,ar,Kwon D.,Korea University,IEEE Transactions on Education,Journal,1,0,tangible programming tool enable child easily learn programming process previously consider difficult various tangible programming tool develop still lack available tool help student experience general programming process study therefore develop tool call algorithmic brick brick improve programming language experience consider utilize characteristic procedural language specifically element sequence repetition condition function parameter use develop brick addition study observe benefit brick confirm potential tangible educational programming tool compare analyze elementary school student use brick control group use scratch ,algorithmic bricks tangible robot programming tool elementary school student ,Kwon D. algorithmic bricks tangible robot programming tool elementary school student  tangible programming tool enable child easily learn programming process previously consider difficult various tangible programming tool develop still lack available tool help student experience general programming process study therefore develop tool call algorithmic brick brick improve programming language experience consider utilize characteristic procedural language specifically element sequence repetition condition function parameter use develop brick addition study observe benefit brick confirm potential tangible educational programming tool compare analyze elementary school student use brick control group use scratch  ar Korea University IEEE Transactions on Education Journal 0
10.18848/1835-9795/cgp/v04i01/40322,ar,Yuventi J.,Stanford University,Ubiquitous Learning,Journal,0,0,learn computer programming migrate new programming language often perceive difficult partially traditional method teach focus memorization syntax rather understand develop algorithm additionally traditional tool use teach program little retain student attention increase confidence skill build upon previous attempt innovative computer programming strategy create environment engage student paper present method learn programming use robotic internet concept revolve around separate language function focus application analytical thinking toward create algorithm internet use provide ubiquity learn create easily accessible platform potentially reduce cost learning method provide student great understanding logic involve programming approach understanding make easy develop uniquecomplex software transition new programming language direction take paper govern notion programming help develop analytical thinking method introduce mean solely computer science student also great technical audience ,analytical learn robotic internet ,Yuventi J. analytical learn robotic internet  learn computer programming migrate new programming language often perceive difficult partially traditional method teach focus memorization syntax rather understand develop algorithm additionally traditional tool use teach program little retain student attention increase confidence skill build upon previous attempt innovative computer programming strategy create environment engage student paper present method learn programming use robotic internet concept revolve around separate language function focus application analytical thinking toward create algorithm internet use provide ubiquity learn create easily accessible platform potentially reduce cost learning method provide student great understanding logic involve programming approach understanding make easy develop uniquecomplex software transition new programming language direction take paper govern notion programming help develop analytical thinking method introduce mean solely computer science student also great technical audience  ar Stanford University Ubiquitous Learning Journal 0
10.7227/IJEEE.49.3.6,ar,Coombs J.,Texas Instruments,International Journal of Electrical Engineering and Education,Journal,0,0,grow performance decrease price embed processor open many door developer industry academia however complexitie system create serious developmental bottleneck sophisticated software package opencv assist functional development educational aspect otherwise complex application tool lend well use academic community particular provide example algorithm implementation however task migrate software embed platform pose challenge paper review mitigate issue include c implementation memory constraint floatingpoint support opportunity maximise performance use vendoroptimised library integrate accelerator coprocessor finally introduce new effort texas instruments optimism vision system run opencv c digital signal processor architecture benchmarks show advantage use dsp compare performance dsparm systemonchip soc processor armonly device ,overcome challenge sort opencv ti embedded arm dsp platform ,Coombs J. overcome challenge sort opencv ti embedded arm dsp platform  grow performance decrease price embed processor open many door developer industry academia however complexitie system create serious developmental bottleneck sophisticated software package opencv assist functional development educational aspect otherwise complex application tool lend well use academic community particular provide example algorithm implementation however task migrate software embed platform pose challenge paper review mitigate issue include c implementation memory constraint floatingpoint support opportunity maximise performance use vendoroptimised library integrate accelerator coprocessor finally introduce new effort texas instruments optimism vision system run opencv c digital signal processor architecture benchmarks show advantage use dsp compare performance dsparm systemonchip soc processor armonly device  ar Texas Instruments International Journal of Electrical Engineering and Education Journal 0
