doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title,text_to_proc
10.5755/j01.eee.18.9.2825,ar,Burbaite R.,Kaunas University of Technology,Elektronika ir Elektrotechnika,Journal,1,0,difficult motiv learner learn abstract comput scienc topic eg data structur algorithm program adequ level engag present process construct lego robot call drawbot draw robot enabl creat learn environ demonstr visual solut graphbas comput scienc task teach program research confirm import use robotbas environ teach known far literatur learn extend known approach provid technic characterist process creat learn environ real set b smooth integr differ phase process consid entireti support constructivist learn model doi httpdxdoiorgjee,lego nxt robotbas learn environ teach comput scienc topic,Burbaite R. lego nxt robotbas learn environ teach comput scienc topic difficult motiv learner learn abstract comput scienc topic eg data structur algorithm program adequ level engag present process construct lego robot call drawbot draw robot enabl creat learn environ demonstr visual solut graphbas comput scienc task teach program research confirm import use robotbas environ teach known far literatur learn extend known approach provid technic characterist process creat learn environ real set b smooth integr differ phase process consid entireti support constructivist learn model doi httpdxdoiorgjee ar Kaunas University of Technology Elektronika ir Elektrotechnika Journal 0
10.1080/03043797.2012.725711,ar,Laverty D.,Queen's University Belfast,European Journal of Engineering Education,Journal,0,0,paper present new laboratorybas modul embed system teach address current lack consider link hardwar develop softwar implement cours content student evalu laboratori environ cours introduc second year undergradu student interfac hardwar softwar program embed devic case pic origin peripher interfac control later rebrand programm intellig comput microcontrol hardwar develop board design use laboratori modul present hand laboratori experi student encourag engag practic problemsolv exercis develop program skill across broad rang scenario,embed c program practic cours introduc programm microprocessor,Laverty D. embed c program practic cours introduc programm microprocessor paper present new laboratorybas modul embed system teach address current lack consider link hardwar develop softwar implement cours content student evalu laboratori environ cours introduc second year undergradu student interfac hardwar softwar program embed devic case pic origin peripher interfac control later rebrand programm intellig comput microcontrol hardwar develop board design use laboratori modul present hand laboratori experi student encourag engag practic problemsolv exercis develop program skill across broad rang scenario ar Queen's University Belfast European Journal of Engineering Education Journal 0
10.1007/s00779-011-0404-2,ar,Horn M.,Northwestern University,Personal and Ubiquitous Computing,Journal,1,0,research involv tangibl interact children often focus tangibl might support improv learn compar tradit method paper review three research studi involv tangibl comput program address question varieti learn environ divers popul children studi identifi situat tangibl interact seem offer advantag learn howev also identifi situat tangibl interact prove less use altern interact style provid appropri medium learn thus advoc hybrid approachon offer teacher learner flexibl select appropri interact style meet need specif situat,tangibl interact learn case hybrid approach,Horn M. tangibl interact learn case hybrid approach research involv tangibl interact children often focus tangibl might support improv learn compar tradit method paper review three research studi involv tangibl comput program address question varieti learn environ divers popul children studi identifi situat tangibl interact seem offer advantag learn howev also identifi situat tangibl interact prove less use altern interact style provid appropri medium learn thus advoc hybrid approachon offer teacher learner flexibl select appropri interact style meet need specif situat ar Northwestern University Personal and Ubiquitous Computing Journal 0
10.1007/s13218-011-0148-1,ar,Kirsch A.,"FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen",KI - Kunstliche Intelligenz,Journal,0,0,zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamisch umgebungen anzupassen immer wichtig die robot learn languag roll schafft die grundlag fr ein nahtlos integr von lernen robotersteuerungsprogramm sie tenth lt konstrukt zum definieren und automatischen sammeln von erfahrungsdaten sowi zum definieren und ausfhren von lernproblemen durch ihr modularit kann roll mit verschiedenen lernalgorithmen verwendet werden,integr program learn control languag autonom robot,"Kirsch A. integr program learn control languag autonom robot zusammenfassung durch den zunehmenden einsatz von robotern alltagsumgebungen wird die f higkeit sich durch lernen dynamisch umgebungen anzupassen immer wichtig die robot learn languag roll schafft die grundlag fr ein nahtlos integr von lernen robotersteuerungsprogramm sie tenth lt konstrukt zum definieren und automatischen sammeln von erfahrungsdaten sowi zum definieren und ausfhren von lernproblemen durch ihr modularit kann roll mit verschiedenen lernalgorithmen verwendet werden ar FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t MÃ¼nchen KI - Kunstliche Intelligenz Journal 0"
10.1007/s10015-011-0996-7,ar,Pagliarini L.,Technical University of Denmark;Accademia di belli arti-Macerata,Artificial Life and Robotics,Journal,0,0,articl tri describ modular interact tile system it valuabl tool introduc student interact parallel distribut process program done provid hanson educ tool allow chang represent abstract problem relat design interact parallel distribut system inde it seem bring seri goal educ parallel program distributed communic protocol master depend softwar behavior model adapt interact feedback connect topolog island model user multius interact rare found tool final introduc system modular interact tile tool easi fast flexibl hanson explor issu exampl show implement interact parallel distribut process differ behavior softwar model open loop randomnessbas rulebas user interactionbas ai alifebas softwar,educ tool interact parallel distribut process,Pagliarini L. educ tool interact parallel distribut process articl tri describ modular interact tile system it valuabl tool introduc student interact parallel distribut process program done provid hanson educ tool allow chang represent abstract problem relat design interact parallel distribut system inde it seem bring seri goal educ parallel program distributed communic protocol master depend softwar behavior model adapt interact feedback connect topolog island model user multius interact rare found tool final introduc system modular interact tile tool easi fast flexibl hanson explor issu exampl show implement interact parallel distribut process differ behavior softwar model open loop randomnessbas rulebas user interactionbas ai alifebas softwar ar Technical University of Denmark;Accademia di belli arti-Macerata Artificial Life and Robotics Journal 0
10.1109/TE.2011.2155066,ar,Pinto M.,Universidade do Porto,IEEE Transactions on Education,Journal,0,0,inspir paper come success experi conduct student mobil robot cours fifth year integr master program depart electr comput engin faculti engin univers porto feud porto portug one topic mobil robot cours local mobil robot use extend salman filter lego nxt give student opportun studi concept local experi come within framework teach local concept mobil robot focus primarili explain salman filter concept involv specif tool develop author base lego nxt technolog work present could help guid teach concept relat local mobil robot ensur adequ understand concept use extend salman filter ek legofeup robot describ built use lego mindstorm nxt test simul real scenario base result obtain author conclud develop tool effect motiv student implement tool structur mobil robot cours criteria student assess describ paper,local mobil robot use extend salman filter lego nxt,Pinto M. local mobil robot use extend salman filter lego nxt inspir paper come success experi conduct student mobil robot cours fifth year integr master program depart electr comput engin faculti engin univers porto feud porto portug one topic mobil robot cours local mobil robot use extend salman filter lego nxt give student opportun studi concept local experi come within framework teach local concept mobil robot focus primarili explain salman filter concept involv specif tool develop author base lego nxt technolog work present could help guid teach concept relat local mobil robot ensur adequ understand concept use extend salman filter ek legofeup robot describ built use lego mindstorm nxt test simul real scenario base result obtain author conclud develop tool effect motiv student implement tool structur mobil robot cours criteria student assess describ paper ar Universidade do Porto IEEE Transactions on Education Journal 0
10.1109/TE.2012.2182998,ar,Mattmann C.,University of Southern California;Jet Propulsion Laboratory,IEEE Transactions on Education,Journal,0,0,embed softwar system grown number complex import modern world correspond need teach comput scienc student effect engin system arisen embed softwar system control cell phone aircraft medic equip subject requir constraint signific differ encount standard desktop comput environ exampl embed system must frequent address challeng aris sever resourc restrict eg low memori network bandwidth heterogen hardwar platform safetycrit oper softwar architectur shown effect mean cope issu yet tradit cours embed softwar develop rare focus softwar architectur abstract instead concentr lowerlevel issu program languag hardwar interfac sinc univers southern california los angel uniqu cours develop afford student opportun gain experi insight develop softwar architectur embed system heart cours middlewar platform prismmw help student use softwar architectur principl construct embed system understand import challeng embed system domain paper describ cours explan evalu four year class project weav togeth cours middlewar platform relationship three key pedagog goal drove formul cours curriculum,middlewar platform provid mobil embed comput instruct softwar engin student,Mattmann C. middlewar platform provid mobil embed comput instruct softwar engin student embed softwar system grown number complex import modern world correspond need teach comput scienc student effect engin system arisen embed softwar system control cell phone aircraft medic equip subject requir constraint signific differ encount standard desktop comput environ exampl embed system must frequent address challeng aris sever resourc restrict eg low memori network bandwidth heterogen hardwar platform safetycrit oper softwar architectur shown effect mean cope issu yet tradit cours embed softwar develop rare focus softwar architectur abstract instead concentr lowerlevel issu program languag hardwar interfac sinc univers southern california los angel uniqu cours develop afford student opportun gain experi insight develop softwar architectur embed system heart cours middlewar platform prismmw help student use softwar architectur principl construct embed system understand import challeng embed system domain paper describ cours explan evalu four year class project weav togeth cours middlewar platform relationship three key pedagog goal drove formul cours curriculum ar University of Southern California;Jet Propulsion Laboratory IEEE Transactions on Education Journal 0
10.1109/TE.2012.2190071,ar,Kwon D.,Korea University,IEEE Transactions on Education,Journal,1,0,tangibl program tool enabl children easili learn program process previous consid difficult them various tangibl program tool develop still lack avail tool help student experi general program process studi therefor develop tool call algorithm brick brick improv program languag experi consid util characterist procedur languag specif element sequenc repetit condit function paramet use develop brick addit studi observ benefit brick confirm potenti tangibl educ program tool compar analyz elementari school student use brick control group use scratch,algorithm brick tangibl robot program tool elementari school student,Kwon D. algorithm brick tangibl robot program tool elementari school student tangibl program tool enabl children easili learn program process previous consid difficult them various tangibl program tool develop still lack avail tool help student experi general program process studi therefor develop tool call algorithm brick brick improv program languag experi consid util characterist procedur languag specif element sequenc repetit condit function paramet use develop brick addit studi observ benefit brick confirm potenti tangibl educ program tool compar analyz elementari school student use brick control group use scratch ar Korea University IEEE Transactions on Education Journal 0
10.18848/1835-9795/cgp/v04i01/40322,ar,Yuventi J.,Stanford University,Ubiquitous Learning,Journal,0,0,learn comput program migrat new program languag often perceiv difficult partial tradit method teach focus memor syntax rather understand develop algorithm addit tradit tool use teach program littl retain student attent increas confid skill build upon previous attempt innov comput program strategi creat environ engag student paper present method learn program use robot internet concept revolv around separ languag function focus applic analyt think toward creat algorithm internet use provid ubiqu learn creat easili access platform potenti reduc cost learn method provid student greater understand logic involv program approach understand make easier develop uniquecomplex softwar transit new program languag direct taken paper govern notion program help develop analyt think method introduc meant sole comput scienc student also greater technic audienc,analyt learn robot internet,Yuventi J. analyt learn robot internet learn comput program migrat new program languag often perceiv difficult partial tradit method teach focus memor syntax rather understand develop algorithm addit tradit tool use teach program littl retain student attent increas confid skill build upon previous attempt innov comput program strategi creat environ engag student paper present method learn program use robot internet concept revolv around separ languag function focus applic analyt think toward creat algorithm internet use provid ubiqu learn creat easili access platform potenti reduc cost learn method provid student greater understand logic involv program approach understand make easier develop uniquecomplex softwar transit new program languag direct taken paper govern notion program help develop analyt think method introduc meant sole comput scienc student also greater technic audienc ar Stanford University Ubiquitous Learning Journal 0
10.7227/IJEEE.49.3.6,ar,Coombs J.,Texas Instruments,International Journal of Electrical Engineering and Education,Journal,0,0,grow perform decreas price embed processor open mani door develop industri academia howev complex system creat serious development bottleneck sophist softwar packag opencv assist function develop educ aspect otherwis complex applic tool lend well use academ communiti particular provid exampl algorithm implement howev task migrat softwar embed platform pose challeng paper review mitig issu includ c implement memori constraint floatingpoint support opportun maximis perform use vendoroptimis librari integr acceler coprocessor final introduc new effort texa instrument optim vision system run opencv c digit signal processor architectur benchmark show advantag use dsp compar perform dsparm systemonchip soc processor armon devic,overcom challeng sort opencv ti embed arm dsp platform,Coombs J. overcom challeng sort opencv ti embed arm dsp platform grow perform decreas price embed processor open mani door develop industri academia howev complex system creat serious development bottleneck sophist softwar packag opencv assist function develop educ aspect otherwis complex applic tool lend well use academ communiti particular provid exampl algorithm implement howev task migrat softwar embed platform pose challeng paper review mitig issu includ c implement memori constraint floatingpoint support opportun maximis perform use vendoroptimis librari integr acceler coprocessor final introduc new effort texa instrument optim vision system run opencv c digit signal processor architectur benchmark show advantag use dsp compar perform dsparm systemonchip soc processor armon devic ar Texas Instruments International Journal of Electrical Engineering and Education Journal 0
10.7227/IJEEE.49.3.3,ar,Tadrist N.,UniversitÃ© des Sciences et de la Technologie Houari Boumediene,International Journal of Electrical Engineering and Education,Journal,0,0,paper test bench develop teach purpos enhanc power electron real time control brushless dc motor particular emphasi place pm techniqu theoret signal generat use matlabsimulink environ experiment dsp program kit first model develop matlabsimulink deriv electr mechan equat mode control strategi implement involv two pm techniqu name soft hard switch system built way student abl carri model confirm result test bench use techniqu approach use effect generat student satisfact improv student learn evid regard drive control applic either variabl speed drive embed system,develop brushless dc motor drive system teach purpos use various pm control techniqu,Tadrist N. develop brushless dc motor drive system teach purpos use various pm control techniqu paper test bench develop teach purpos enhanc power electron real time control brushless dc motor particular emphasi place pm techniqu theoret signal generat use matlabsimulink environ experiment dsp program kit first model develop matlabsimulink deriv electr mechan equat mode control strategi implement involv two pm techniqu name soft hard switch system built way student abl carri model confirm result test bench use techniqu approach use effect generat student satisfact improv student learn evid regard drive control applic either variabl speed drive embed system ar UniversitÃ© des Sciences et de la Technologie Houari Boumediene International Journal of Electrical Engineering and Education Journal 0
10.7227/IJEEE.49.3.5,ar,RodrÃ­guez-ResÃ©ndiz J.,Universidad AutÃ³noma de QuerÃ©taro,International Journal of Electrical Engineering and Education,Journal,0,0,articl methodolog construct simpl serv loop motion control applic suitabl educ applic present entir hardwar implement demonstr focus microcontrollerbas c serv amplifi field programm gate arraydigit signal processor fpgadsp motion control novel hybrid architecturebas digit stage featur provid lowcost serv drive high perform control use basi industri applic communic comput control exploit project order perform simultan adapt serv tune usb protocol put oper user frontend high speed sampl frequenc requir pc acquir posit feedback signal softwar interfac develop use educ softwar enabl featur limit motion profil also supervisori control data acquisit scara topolog system classic proportionalintegralderiv control pid program dsp order ensur proper track refer low high speed dc motor furthermor certain block embed pga result three import technolog signal process featur permit engin student understand sever concept cover theoret cours,approach motion control applic base advanc programm devic,RodrÃ­guez-ResÃ©ndiz J. approach motion control applic base advanc programm devic articl methodolog construct simpl serv loop motion control applic suitabl educ applic present entir hardwar implement demonstr focus microcontrollerbas c serv amplifi field programm gate arraydigit signal processor fpgadsp motion control novel hybrid architecturebas digit stage featur provid lowcost serv drive high perform control use basi industri applic communic comput control exploit project order perform simultan adapt serv tune usb protocol put oper user frontend high speed sampl frequenc requir pc acquir posit feedback signal softwar interfac develop use educ softwar enabl featur limit motion profil also supervisori control data acquisit scara topolog system classic proportionalintegralderiv control pid program dsp order ensur proper track refer low high speed dc motor furthermor certain block embed pga result three import technolog signal process featur permit engin student understand sever concept cover theoret cours ar Universidad AutÃ³noma de QuerÃ©taro International Journal of Electrical Engineering and Education Journal 0
10.1080/08993408.2013.847152,ar,Mason R.,School of Business and Tourism,Computer Science Education,Journal,1,0,paper report seri introductori program workshop initi target femal high school student utilis lego mindstorm robot cognit load theori lt appli instruct design workshop control experi also conduct investig aspect interfac result indic truncat interfac led better learn novic programm measur test perform particip well enhanc shift selfefficaci lower percept difficulti also transfer effect anoth program environ alic argu result indic novic programm mere presenc onscreen addit redund entiti act form tacit distract thus impend learn util lt analys design deliv aspect comput program environ instruct materi discuss,mindstorm robot applic cognit load theori introductori program,Mason R. mindstorm robot applic cognit load theori introductori program paper report seri introductori program workshop initi target femal high school student utilis lego mindstorm robot cognit load theori lt appli instruct design workshop control experi also conduct investig aspect interfac result indic truncat interfac led better learn novic programm measur test perform particip well enhanc shift selfefficaci lower percept difficulti also transfer effect anoth program environ alic argu result indic novic programm mere presenc onscreen addit redund entiti act form tacit distract thus impend learn util lt analys design deliv aspect comput program environ instruct materi discuss ar School of Business and Tourism Computer Science Education Journal 0
10.1080/08993408.2013.847226,ar,Touretzky D.,Carnegie Mellon University,Computer Science Education,Journal,1,0,modern robot like today smartphon complex devic intric softwar system introductori robot program cours must evolv reflect realiti teach student make use sophist tool robot provid rather reimplement basic algorithm paper focus teach tekkotsu open sourc robot applic develop framework design specif educ curriculum describ also taught use ros robot oper system wide use robot research,robot comput scientist   big idea,Touretzky D. robot comput scientist   big idea modern robot like today smartphon complex devic intric softwar system introductori robot program cours must evolv reflect realiti teach student make use sophist tool robot provid rather reimplement basic algorithm paper focus teach tekkotsu open sourc robot applic develop framework design specif educ curriculum describ also taught use ros robot oper system wide use robot research ar Carnegie Mellon University Computer Science Education Journal 0
10.1109/TE.2013.2255877,ar,Larraza-Mendiluze E.,Universidad del Pais Vasco,IEEE Transactions on Education,Journal,0,0,inputoutput io subsystem import topic within comput architectur ca determin comput interact environ reason comput scientist engin must understand comput manag interact usual taught introductori ca cours cours mani differ style teach rang pure theoret complet practic ca cours consid paper alreadi appli practic approach time io subsystem student must abl describ poll interrupt handl lowlevel program howev program level oper system os driven comput possibl without familiar kernel driver usual case student introductori cours fortun mani bare special embed system around osdriven propos nintendo ds nds consol use classroom set prove appropri infrastructur develop attract engag project use provid better understand mechan relat io subsystem time teach method alter make transit classic passiv lecturebas class activ projectbas learn pl approach reward experi see student learn control nds devic own addit describ implement propos chang two subsequ school year paper also present data conclus,gameconsolebas project learn comput inputoutput subsystem,Larraza-Mendiluze E. gameconsolebas project learn comput inputoutput subsystem inputoutput io subsystem import topic within comput architectur ca determin comput interact environ reason comput scientist engin must understand comput manag interact usual taught introductori ca cours cours mani differ style teach rang pure theoret complet practic ca cours consid paper alreadi appli practic approach time io subsystem student must abl describ poll interrupt handl lowlevel program howev program level oper system os driven comput possibl without familiar kernel driver usual case student introductori cours fortun mani bare special embed system around osdriven propos nintendo ds nds consol use classroom set prove appropri infrastructur develop attract engag project use provid better understand mechan relat io subsystem time teach method alter make transit classic passiv lecturebas class activ projectbas learn pl approach reward experi see student learn control nds devic own addit describ implement propos chang two subsequ school year paper also present data conclus ar Universidad del Pais Vasco IEEE Transactions on Education Journal 0
10.1007/s00170-013-5034-6,ar,Gu W.P.,Nanchang Hangkong University,International Journal of Advanced Manufacturing Technology,Journal,0,0,automat weld technolog solut increas weld product improv weld qualiti especi thick plate weld order obtain highqual multipass well necessari maintain stabl weld bead pass multipass weld difficult obtain stabl weld bead use tradit teach playback arc weld robot overcom tradit limit automat weld track system arc weld robot propos multipass weld develop system includ imag acquisit modul imag process modul track control unit softwar interfac vision sensor includ ccd camera mount weld torch order minim inevit misalign center line weld seam weld torch weld pass robust algorithm weld imag process propos prove suitabl root pass fill pass cap pass order accur track weld seam fuzzi control design control arc weld robot adjust torch microsoft visual c softwar use develop applic program user interfac weld experi carri verifi valid multipass weld track system,autonom seam acquisit track system multipass weld base vision sensor,Gu W.P. autonom seam acquisit track system multipass weld base vision sensor automat weld technolog solut increas weld product improv weld qualiti especi thick plate weld order obtain highqual multipass well necessari maintain stabl weld bead pass multipass weld difficult obtain stabl weld bead use tradit teach playback arc weld robot overcom tradit limit automat weld track system arc weld robot propos multipass weld develop system includ imag acquisit modul imag process modul track control unit softwar interfac vision sensor includ ccd camera mount weld torch order minim inevit misalign center line weld seam weld torch weld pass robust algorithm weld imag process propos prove suitabl root pass fill pass cap pass order accur track weld seam fuzzi control design control arc weld robot adjust torch microsoft visual c softwar use develop applic program user interfac weld experi carri verifi valid multipass weld track system ar Nanchang Hangkong University International Journal of Advanced Manufacturing Technology Journal 0
10.7227/IJEEE.50.3.4,ar,Apsley J.,The University of Manchester,International Journal of Electrical Engineering and Education,Journal,0,0,project work form major part final year be men degre cours assess mark alloc final report tradit classroom teach promot independ learn requir run project write research report autonom linefollow robot challeng introduc secondyear group project train tool project manag plan technic write order prepar student third fourthyear project linefollow robot requir student develop technic skill circuit design fabric microcontrol program control context competit engag enthusiasm provid platform secondyear pastor system motiv student meet week tutor smallgroup context paper evalu effect project meet learn object identifi challeng relat resourc assess,autonom linefollow robot project train tool project work,Apsley J. autonom linefollow robot project train tool project work project work form major part final year be men degre cours assess mark alloc final report tradit classroom teach promot independ learn requir run project write research report autonom linefollow robot challeng introduc secondyear group project train tool project manag plan technic write order prepar student third fourthyear project linefollow robot requir student develop technic skill circuit design fabric microcontrol program control context competit engag enthusiasm provid platform secondyear pastor system motiv student meet week tutor smallgroup context paper evalu effect project meet learn object identifi challeng relat resourc assess ar The University of Manchester International Journal of Electrical Engineering and Education Journal 0
10.1016/j.robot.2012.08.001,ar,Barakova E.,Technische Universiteit Eindhoven,Robotics and Autonomous Systems,Journal,1,0,paper propos architectur make program robot behavior arbitrari complex possibl endus show technic solut way easi understand general differ situat aim facilit uptak actual use robot technolog therapi train social skill autist children howev framework easi general arbitrari humanrobot interact applic user technic background need program robot ie various assist robot applic identifi main need endus program robot basic prerequisit uptak robot assist applic reusabl modular afford natur interact eas use review shortcom exist architectur develop initi architectur accord principl embed robot platform use cocreat process develop concret architectur facilit solut creat afford robot specialist therapist sever pilot test show differ user group includ therapist general comput skill adolesc autism could make simpl train general behavior scenario within h connect exist behavior block type textual robot command finetun behavior addit paper explain basic concept behind tivip base robot control platform give guidelin choos robot program tool design endus platform robot highlight program architectur help endus creat interact scenario propos complex program concept explain nonprogramm iter cocreat process lead robot scenario train autist children use tivip therapist creat interact robot behavior within h architectur facilit creation share robot train scenario,endus program architectur facilit uptak robot social therapi,Barakova E. endus program architectur facilit uptak robot social therapi paper propos architectur make program robot behavior arbitrari complex possibl endus show technic solut way easi understand general differ situat aim facilit uptak actual use robot technolog therapi train social skill autist children howev framework easi general arbitrari humanrobot interact applic user technic background need program robot ie various assist robot applic identifi main need endus program robot basic prerequisit uptak robot assist applic reusabl modular afford natur interact eas use review shortcom exist architectur develop initi architectur accord principl embed robot platform use cocreat process develop concret architectur facilit solut creat afford robot specialist therapist sever pilot test show differ user group includ therapist general comput skill adolesc autism could make simpl train general behavior scenario within h connect exist behavior block type textual robot command finetun behavior addit paper explain basic concept behind tivip base robot control platform give guidelin choos robot program tool design endus platform robot highlight program architectur help endus creat interact scenario propos complex program concept explain nonprogramm iter cocreat process lead robot scenario train autist children use tivip therapist creat interact robot behavior within h architectur facilit creation share robot train scenario ar Technische Universiteit Eindhoven Robotics and Autonomous Systems Journal 0
10.1109/TLA.2013.6502866,ar,Diaz L.,Universidad Nacional de CÃ³rdoba,IEEE Latin America Transactions,Journal,1,0,work present two cours action part research project focus use intellig tutor system robot improv learn process program engin field first method use applic neural network predict academ perform student program hand develop practic activ base robot program student univers motiv tool action first step learn strategi base feedback motiv appli intellig system process teach learn program appli engin field,action toward applic intellig system comput educ,Diaz L. action toward applic intellig system comput educ work present two cours action part research project focus use intellig tutor system robot improv learn process program engin field first method use applic neural network predict academ perform student program hand develop practic activ base robot program student univers motiv tool action first step learn strategi base feedback motiv appli intellig system process teach learn program appli engin field ar Universidad Nacional de CÃ³rdoba IEEE Latin America Transactions Journal 0
10.7227/IJEEE.50.2.4,ar,Mysorewala M.,King Fahd University of Petroleum and Minerals,International Journal of Electrical Engineering and Education,Journal,0,0,paper discuss projectbas teach learn approach infus robot educ control instrument programm kfupm univers last two year various practic project assign student either cours project capston design project area control engin use nation instrument ni embed robot platform assign project focus design equip robot platform environmentsens light temperatur sound capabl control oper path plan obstacl avoid use ni platform test bed teach approach result design implement success prototyp enabl student experi various sens control communic techniqu platform thus turn intellig mobil robot capabl implement complex comput demand control estim algorithm final survey conduct assess educ content valu student propos approach show strategi far fruit give us ampl encourag pursu develop,projectbas strategi teach robot use ni embeddedfpga platform,Mysorewala M. projectbas strategi teach robot use ni embeddedfpga platform paper discuss projectbas teach learn approach infus robot educ control instrument programm kfupm univers last two year various practic project assign student either cours project capston design project area control engin use nation instrument ni embed robot platform assign project focus design equip robot platform environmentsens light temperatur sound capabl control oper path plan obstacl avoid use ni platform test bed teach approach result design implement success prototyp enabl student experi various sens control communic techniqu platform thus turn intellig mobil robot capabl implement complex comput demand control estim algorithm final survey conduct assess educ content valu student propos approach show strategi far fruit give us ampl encourag pursu develop ar King Fahd University of Petroleum and Minerals International Journal of Electrical Engineering and Education Journal 0
10.1007/s10514-013-9324-5,ar,Valero-GÃ³mez A.,Universidad Carlos III de Madrid,Autonomous Robots,Journal,0,0,mani year robot benefit open sourc communiti softwar communiti project like player stage gazebo ros opencv present robot applic recent year trend also initi among electron mechan develop open hardwar arduino develop platform good exampl success hardwar project great communiti develop user around it apparit person d printer bring open sourc philosophi fabric physic thing well new technolog need new design tool take advantag it paper present c object orient mechan librari ooml tool design mechan compon take account need requir emerg technolog design easili share reus modifi ooml bring togeth advantag model thing code object orient program paradigm power c ooml mechan part describ geometr combin basic primit part defin fabric file generat order print mechan it model could also use simul visual structur analysi etc,new paradigm open robot research educ c ooml,Valero-GÃ³mez A. new paradigm open robot research educ c ooml mani year robot benefit open sourc communiti softwar communiti project like player stage gazebo ros opencv present robot applic recent year trend also initi among electron mechan develop open hardwar arduino develop platform good exampl success hardwar project great communiti develop user around it apparit person d printer bring open sourc philosophi fabric physic thing well new technolog need new design tool take advantag it paper present c object orient mechan librari ooml tool design mechan compon take account need requir emerg technolog design easili share reus modifi ooml bring togeth advantag model thing code object orient program paradigm power c ooml mechan part describ geometr combin basic primit part defin fabric file generat order print mechan it model could also use simul visual structur analysi etc ar Universidad Carlos III de Madrid Autonomous Robots Journal 0
10.1080/15391523.2013.10782614,ar,Flannery L.,Tufts University,Journal of Research on Technology in Education,Journal,1,0,young learner today generat express interact sophist idea use rang digit tool explor interact stori anim comput game robot recent year new development appropri robot kit enter earli childhood classroom paper present retrospect analysi one studi within designbas robot research program examin pattern cognit throughout earli childhood relat program approach achiev robot context find lay foundat appli cognit development theori earli technolog educ inform evalu studi program robot technolog curriculum,let danc robot hokeypokey   children program approach achiev throughout earli cognit develop,Flannery L. let danc robot hokeypokey   children program approach achiev throughout earli cognit develop young learner today generat express interact sophist idea use rang digit tool explor interact stori anim comput game robot recent year new development appropri robot kit enter earli childhood classroom paper present retrospect analysi one studi within designbas robot research program examin pattern cognit throughout earli childhood relat program approach achiev robot context find lay foundat appli cognit development theori earli technolog educ inform evalu studi program robot technolog curriculum ar Tufts University Journal of Research on Technology in Education Journal 0
