doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title
10.5755/j01.eee.18.9.2825,ar,Burbaite R.,Kaunas University of Technology,Elektronika ir Elektrotechnika,Journal,1,0,difficult motivate learner learn abstract computer science topic eg data structure algorithm program adequate level engagement present process construct lego robot call drawbot drawing robot enable create learn environment demonstrate visually solution graphbase computer science task teach programming research confirm importance use robotbased environment teach know far literature learn extend know approach provide technical characteristic process create learn environment real setting b smoothly integrate different phase process consider entirety support constructivist learn model doi httpdxdoiorgjeee ,lego nxt robotbase learn environment teach computer science topic 
10.1080/03043797.2012.725711,ar,Laverty D.,Queen's University Belfast,European Journal of Engineering Education,Journal,0,0,paper present new laboratorybase module embed system teaching address current lack consideration link hardware development software implementation course content student evaluation laboratory environment course introduce second year undergraduate student interface hardware software programming embed devices case pic originally peripheral interface controller later rebrande programmable intelligent computer microcontroller hardware development board design use laboratory module present hand laboratory experience student encourage engage practical problemsolving exercise develop programming skill across broad range scenario ,embed c programming practical course introduce programmable microprocessor 
10.1016/j.eswa.2012.04.038,ar,Mabu S.,Waseda University,Expert Systems with Applications,Journal,0,0,genetic network programming gap propose one evolutionary algorithm extend reinforcement learning gnprl combination evolution learn efficiently evolve program fitness improvement confirm simulation tileworld problem elevator group supervisory control system stock trading model wall follow behavior khepera robot however adaptability testing environment situation dynamically change analyze detail yet paper adaptation mechanism testing environment introduce confirm gnprl adapt environmental change use robot simulator webot especially inexperience sensor trouble suddenly occur simulation result show gnprl work well test even wrong sensor information give gnprl function automatically change program use alternative action addition analysis effect parameter gnprl carry training testing simulation highlight propose adaptive learning mechanism use reinforcement learning adaptability examine sensor suddenly break faulty sensor indirectly detect change q value size q table compact quick recovery trouble possible ,adaptability analysis genetic network programming reinforcement learn dynamically change environment 
10.1080/01691864.2012.703167,ar,Aleotti J.,UniversitÃ  di Parma,Advanced Robotics,Journal,0,0,accord neuropsychology study d shape segmentation play important role human perception object object perceive grasp first parse constituent part capability miss current robot planning system therefore hinder ability plan partspecific grass suitable current task paper novel approach partbase grasp present combine d shape segmentation programming human demonstration manipulation plan central advantage previous approach use topological method shape segmentation enable object categorization robot grasp accord affordance object manipulation task demonstrate virtual reality environment use datum glove motion tracker specific part object grasp occur learn encode task description task plan execute robot environment target semantically relevant part grasp plan robot environment generalize object similar one use task demonstration ie object belong category result obtain d simulation confirm propose approach find less effort grass appropriate request task ,learn manipulation task human demonstration d shape segmentation 
10.5772/50827,ar,Bao J.,Yangzhou University;Southeast University,International Journal of Advanced Robotic Systems,Journal,0,0,paper address question make robot learn natural terrain selectively use knowledge estimate terrain plan optimal path scheme combine vision learn interaction propose vision learn module employ online boost learn algorithm constantly receive learn terrain sample comprise visual feature extract sub terrain region image traversability measure onboard inertia measurement unit be use knowledge robot could estimate new terrain search optimal path travel use particle swarm optimization method overcome shortcoming robot could understand intricate environment exactly vision interaction method complement robot capacity terrain estimation human reasoning ability path correction apply experimental result show effectiveness propose method ,combine vision learn interaction mobile robot path planning 
10.1007/s11370-012-0118-y,ar,Schiffer S.,Rheinisch-WestfÃ¤lische Technische Hochschule Aachen,Intelligent Service Robotics,Journal,0,0,paper present cesar intelligent domestic service robot domestic setting service robot complex task accomplish task benefit deliberation robust action execution flexible method humanrobot interaction account qualitative notion use natural language well human fallibility robot cesar deploys ai technique several level system architecture lowlevel side system module localization navigation make instance use pathplanning method heuristic search bayesian filter face recognition humanmachine interaction random tree wellknown method natural language processing deploy deliberation use robot programming plan language readylog develop highlevel control agent robot allow combine programming behaviour use planning find course action readylog variant robot programming language goog extend readylog able cope qualitative notion space frequently use human near far facilitate humanrobot interaction bridge gap human natural language numerical value need robot use readylog increase flexible interpretation human command decisiontheoretic planning give overview different method deploy cesar show applicability system equip ai technique domestic service robotic ,cesar intelligent domestic service robot 
10.1016/j.rcim.2012.02.007,ar,Basile F.,UniversitÃ  degli Studi di Salerno,Robotics and Computer-Integrated Manufacturing,Journal,0,0,paper taskoriente motion planning approach general cooperative multirobot system propose order derive meaningful task formulation taxonomy cooperative multiarm system industrial interest devise workpieceoriente general formulation cooperative task propose user ask specify motion system workpiece level motion single arm system compute via cinematic transformation relevant coordinate frame base task formulation instruction set derive extend classical programming language industrial robot general multirobot systems order test approach software environment build compose interpreter language motion planning software highlights taxonomy cooperative multiarm system industrial interest devise workpieceoriente general formulation multiarm cooperative task develop instruction set derive extend robot programming language multiarm system ,taskoriente motion planning multiarm robotic system 
10.1007/978-3-642-32060-6_13,ar,Metzler S.,UniversitÃ¤t Bonn,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,0,0,perception environment crucial term successfully play soccer especially detection player improve game play skill obstacle avoidance path planning information help refine reactive behavioral strategy conducive team play capability robot detection robocup standard platform league particularly challenge nao robot limited computing resource appearance predominantly white color like field line paper describe visionbase multilevel approach integrate human software framework evaluate term speed accuracy basis color segment image feedforward neural network train discriminate robot nonrobot present algorithm initially extract image region potentially depict robot prepare classification preparation comprise calculation color histogram well linear interpolation order obtain network input specific size classification neural network position hypothesis generate ,learn visual obstacle detection use color histogram feature 
10.1109/JOE.2012.2205638,ar,Palomeras N.,Universitat de Girona,IEEE Journal of Oceanic Engineering,Journal,0,0,paper presents control architecture autonomous underwater vehicle au name component orient layerbase architecture autonomy cola proposal implement componentoriente layerbased control architecture structure three layer reactive layer execution layer mission layer concern reactive layer improve vehicle primitive adaptability unknown change environment reinforcement learning rl technique program start learnedinsimulation policy rlbase primitive cabletracke train follow underwater cable real experiment inside water tank use ictineu au execution layer implement discrete event system des base peri net ns ns use safely model primitive execution flow mean peri net building block pnbb design accord reachability property show possible compose preserve quality mission layer describe mission phase use highlevel mission control language mcl automatically compile pn mcl present agreeable property simplicity structure programming mcl use describe offline imperative mission describe planning operator charge solve particular phase mission planning operator define onboard planner able sequence achieve propose goal whole architecture validate cable tracking mission divide two main phase first cabletracke primitive reactive layer train follow cable water tank ictineu au one research platform available computer vision robotic group vicorob university girona girona spain second whole architecture prove realistic simulation whole cable tracking mission show ,cola control architecture aus 
10.1177/0278364912438781,ar,Jiang Y.,Cornell University,International Journal of Robotics Research,Journal,0,0,place necessary skill personal robot order perform task arrange object disorganize room object placement stable also semantically prefer placing area orientation challenge environment large variety object place area may see robot before paper propose learn approach place multiple object different placing area scene give pointcloud object scene design appropriate feature use graphical model encode various property stack object stability objectarea relationship common place constraint inference model integer linear program solve efficiently via linear programming relaxation extensively evaluate approach object category place area robotic experiment show success rate place know object place new object stable use method robot perform task load several dishrack bookshelf fridge multiple item ,learn place new object scene 
10.1007/s10710-011-9147-0,ar,Stalph P.,Eberhard Karls UniversitÃ¤t TÃ¼bingen,Genetic Programming and Evolvable Machines,Journal,0,0,successful planning control robot strongly depend quality cinematic model define mapping configuration space eg joint angle task space eg cartesian coordinate end effector often model predefine case example unforeseen bodily change may result unpredictable behavior interested learning approach adapt changesbe due motor sensory failure also due flexible extension robot body example usage tool focus learn locally linear forward velocity kinematic model mean neuroevolution approach xcsf algorithm learn selfsupervise execute movement autonomously mean goalbabble preserve actuator redundancy exploit movement execution fulfill current task constraint detail evaluation purpose study performance xcsf learn control anthropomorphic seven degree freedom arm simulation show xcsf learn large forward velocity cinematic mapping autonomously rather independently task space representation provide result mapping highly suitable resolve redundancy fly inverse goaldirecte control ,learn local linear jacobian flexible adaptive robot arm control 
10.1007/978-3-642-29041-1_1,ar,JÃ¤kel R.,Karlsruher Institut fÃ¼r Technologie,Springer Tracts in Advanced Robotics,Book Series,0,0,propose layered system autonomous plan complex service robot environment manipulation challenge motion planning logicbase plan probabilistic mission planning integrate single system planning model generate use programming human demonstration pid strength planning model arise flexibility give robot deal change scene highly vary sequence event come cost complex planning model representation generation however manually engineer general description cover large set challenge infeasible learning exclusively robot selfexploration thus present pid planning model together generation parameter analysis geometric scene property tackle difficulty experimental result show applicability technique natural learn autonomous execution complex robot manipulation challenge ,layered programming demonstration planning autonomous robot manipulation 
10.1007/s00779-011-0404-2,ar,Horn M.,Northwestern University,Personal and Ubiquitous Computing,Journal,1,0,research involve tangible interaction child often focus tangible may support improve learn compare traditional method paper review three research study involve tangible computer programming address question variety learning environment diverse population child study identify situation tangible interaction seem offer advantage learn however also identify situation tangible interaction prove less useful alternative interaction style provide appropriate medium learning thus advocate hybrid approachone offer teacher learner flexibility select appropriate interaction style meet need specific situation ,tangible interaction learn case hybrid approach 
10.1007/s10846-011-9606-0,ar,Schiffer S.,Rheinisch-WestfÃ¤lische Technische Hochschule Aachen,Journal of Intelligent and Robotic Systems: Theory and Applications,Journal,0,0,paper present thorough integration qualitative representation reason positional information domestic service robotic domain highlevel robot control domestic setting service robot like robocuphome competition complex task get cup kitchen bring live room find object apartment accomplish competition robot may instruct natural language human use qualitative concept near far robot need cope too domestic robot use robot programming plan language readylog variant goog previous work extend action language goog develop highlevel control agent robot fuzzy setbase qualitative concept extend framework positional fuzzy fluent associated positional context call frame underlie reasoning mechanism transform qualitative positional information one context another account change context point view scale demonstrate qualitative positional fluent base fuzzy set semantic deploy domestic domain showcase reason qualitative notion seamlessly apply fetchandcarry task robocuphome scenario ,reason qualitative positional information domestic domain situation calculus 
10.1016/j.robot.2011.07.022,ar,Aleotti J.,UniversitÃ  di Parma,Robotics and Autonomous Systems,Journal,0,0,neuropsychological finding show human perception object base part decomposition object make multiple part likely entity actually involve grasp affordance therefore automatic object recognition robot grasp take advantage d shape segmentation paper present approach toward plan robot grass across similar object part correspondence novelty method lie topological decomposition object enable highlevel semantic grasp plan particular give d model object representation initially segment compute reef graph automatic object recognition part annotation perform apply shape retrieval algorithm recognition phase query accept plan grass individual part object finally robot grasp planner invoke find stable grass select part object grass evaluate accord widely use quality measure experiment perform simulated environment reasonably large dataset show potential topological segmentation highlight candidate part suitable grasp highlight method planning robot grass across similar object part correspondence topological decomposition object enable highlevel semantic grasp planning reef graph use object segmentation grasping evaluation partbase object recognition grasp part capability ,d shape segmentation approach robot grasp part 
