doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title
10.5755/j01.eee.18.9.2825,ar,Burbaite R.,Kaunas University of Technology,Elektronika ir Elektrotechnika,Journal,1,0,difficult motiv learner learn abstract comput scienc topic eg data structur algorithm program adequ level engag present process construct lego robot call drawbot draw robot enabl creat learn environ demonstr visual solut graphbas comput scienc task teach program research confirm import use robotbas environ teach known far literatur learn extend known approach provid technic characterist process creat learn environ real set b smooth integr differ phase process consid entireti support constructivist learn model doi httpdxdoiorgjee,lego nxt robotbas learn environ teach comput scienc topic
10.1080/03043797.2012.725711,ar,Laverty D.,Queen's University Belfast,European Journal of Engineering Education,Journal,0,0,paper present new laboratorybas modul embed system teach address current lack consider link hardwar develop softwar implement cours content student evalu laboratori environ cours introduc second year undergradu student interfac hardwar softwar program embed devic case pic origin peripher interfac control later rebrand programm intellig comput microcontrol hardwar develop board design use laboratori modul present hand laboratori experi student encourag engag practic problemsolv exercis develop program skill across broad rang scenario,embed c program practic cours introduc programm microprocessor
10.1016/j.eswa.2012.04.038,ar,Mabu S.,Waseda University,Expert Systems with Applications,Journal,0,0,genet network program gap propos one evolutionari algorithm extend reinforc learn gnprl combin evolut learn effici evolv program fit improv confirm simul tileworld problem elev group supervisori control system stock trade model wall follow behavior khepera robot howev adapt test environ situat dynam chang analyz detail yet paper adapt mechan test environ introduc confirm gnprl adapt environment chang use robot simul webot especi inexperienc sensor troubl sudden occur simul result show gnprl work well test even wrong sensor inform given gnprl function automat chang program use altern action addit analysi effect paramet gnprl carri train test simul highlight propos adapt learn mechan use reinforc learn adapt examin sensor sudden broken faulti sensor indirect detect chang q valu size q tabl compact quick recoveri troubl possibl,adapt analysi genet network program reinforc learn dynam chang environ
10.1080/01691864.2012.703167,ar,Aleotti J.,UniversitÃ  di Parma,Advanced Robotics,Journal,0,0,accord neuropsycholog studi d shape segment play import role human percept object object perceiv grasp first pars constitu part capabl miss current robot plan system therefor hinder abil plan partspecif grass suitabl current task paper novel approach partbas grasp present combin d shape segment program human demonstr manipul plan central advantag previous approach use topolog method shape segment enabl object categor robot grasp accord afford object manipul task demonstr virtual realiti environ use data glove motion tracker specif part object grasp occur learn encod task descript task plan execut robot environ target semant relev part grasp plan robot environ general object similar one use task demonstr ie object belong categori result obtain d simul confirm propos approach find less effort grass appropri request task,learn manipul task human demonstr d shape segment
10.5772/50827,ar,Bao J.,Yangzhou University;Southeast University,International Journal of Advanced Robotic Systems,Journal,0,0,paper address question make robot learn natur terrain select use knowledg estim terrain plan optim path scheme combin vision learn interact propos vision learn modul employ onlin boost learn algorithm constant receiv learn terrain sampl compris visual featur extract sub terrain region imag travers measur onboard inertia measur unit i m use knowledg robot could estim new terrain search optim path travel use particl swarm optim method overcom shortcom robot could understand intric environ exact vision interact method complement robot capac terrain estim human reason abil path correct appli experiment result show effect propos method,combin vision learn interact mobil robot path plan
10.1007/s11370-012-0118-y,ar,Schiffer S.,Rheinisch-WestfÃ¤lische Technische Hochschule Aachen,Intelligent Service Robotics,Journal,0,0,paper present cesar intellig domest servic robot domest set servic robot complex task accomplish task benefit deliber robust action execut flexibl method humanrobot interact account qualit notion use natur languag well human fallibl robot cesar deploy ai techniqu sever level system architectur lowlevel side system modul local navig make instanc use pathplan method heurist search bayesian filter face recognit humanmachin interact random tree wellknown method natur languag process deploy deliber use robot program plan languag readylog develop highlevel control agent robot allow combin program behaviour use plan find cours action readylog variant robot program languag goog extend readylog abl cope qualit notion space frequent use human near far facilit humanrobot interact bridg gap human natur languag numer valu need robot use readylog increas flexibl interpret human command decisiontheoret plan give overview differ method deploy cesar show applic system equip ai techniqu domest servic robot,cesar intellig domest servic robot
10.1016/j.rcim.2012.02.007,ar,Basile F.,UniversitÃ  degli Studi di Salerno,Robotics and Computer-Integrated Manufacturing,Journal,0,0,paper taskori motion plan approach general cooper multirobot system propos order deriv meaning task formul taxonomi cooper multiarm system industri interest devis workpieceori general formul cooper task propos user ask specifi motion system workpiec level motion singl arm system comput via cinemat transform relev coordin frame base task formul instruct set deriv extend classic program languag industri robot general multirobot system order test approach softwar environ built compos interpret languag motion plan softwar highlight taxonomi cooper multiarm system industri interest devis workpieceori general formul multiarm cooper task develop instruct set deriv extend robot program languag multiarm system,taskori motion plan multiarm robot system
10.1007/978-3-642-32060-6_13,ar,Metzler S.,UniversitÃ¤t Bonn,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,0,0,percept environ crucial term success play soccer especi detect player improv game play skill obstacl avoid path plan inform help refin reactiv behavior strategi conduc team play capabl robot detect robocup standard platform leagu particular challeng nao robot limit comput resourc appear predomin white color like field line paper describ visionbas multilevel approach integr human softwar framework evalu term speed accuraci basi color segment imag feedforward neural network train discrimin robot nonrobot present algorithm initi extract imag region potenti depict robot prepar classif prepar compris calcul color histogram well linear interpol order obtain network input specif size classif neural network posit hypothesi generat,learn visual obstacl detect use color histogram featur
10.1109/JOE.2012.2205638,ar,Palomeras N.,Universitat de Girona,IEEE Journal of Oceanic Engineering,Journal,0,0,paper present control architectur autonom underwat vehicl au name compon orient layerbas architectur autonomi cola propos implement componentori layerbas control architectur structur three layer reactiv layer execut layer mission layer concern reactiv layer improv vehicl primit adapt unknown chang environ reinforc learn rl techniqu program start learnedinsimul polici rlbase primit cabletrack train follow underwat cabl real experi insid water tank use ictineu au execut layer implement discret event system des base peri net ns ns use safe model primit execut flow mean peri net build block pnbbs design accord reachabl properti show possibl compos preserv qualiti mission layer describ mission phase use highlevel mission control languag mcl automat compil pn mcl present agreeabl properti simplic structur program mcl use describ offlin imper mission describ plan oper charg solv particular phase mission plan oper defin onboard planner abl sequenc achiev propos goal whole architectur valid cabl track mission divid two main phase first cabletrack primit reactiv layer train follow cabl water tank ictineu au one research platform avail comput vision robot group vicorob univers girona girona spain second whole architectur prove realist simul whole cabl track mission show,cola control architectur aus
10.1177/0278364912438781,ar,Jiang Y.,Cornell University,International Journal of Robotics Research,Journal,0,0,place necessari skill person robot order perform task arrang object disorgan room object placement stabl also semant prefer place area orient challeng environ larg varieti object place area may seen robot befor paper propos learn approach place multipl object differ place area scene given pointcloud object scene design appropri featur use graphic model encod various properti stack object stabil objectarea relationship common place constraint infer model integ linear program solv effici via linear program relax extens evalu approach object categori place area robot experi show success rate place known object place new object stabl use method robot perform task load sever dishrack bookshelf fridg multipl item,learn place new object scene
