include?,text_to_proc
0,Zhu X. threedimensional simulation swimming training base android mobile system virtual reality technology  computer virtual reality technology emerge recent year widely use new technology many area study threedimensional simulation impact study conduct nonslip motion swimming training channel wall upstream performance inertial coordinate system selfpropelle swimming check directly force virtual reality technology hydrodynamic performance previous system discover base simulation simple model transform android mobile phone system multisegment robot rigid body similarity propose preprocesse feature naive bayesian algorithm analysis key technology classification application virtual reality technology swimming training prevent sport injury disrupt bind constraint android phone enhance effectiveness education propose naive basis algorithm base study virtual parameter tailbeat frequency follow phase difference adjacent body segment body amplitude effect lateral vertical distance model body swimming performance wall also discuss result provide evidence mechanism thrust generation ambient speed vorticity field swim training show excellent effect sport ar Wuhan University of Technology Microprocessors and Microsystems Journal 0
0,Hou Z. research adopt artificial intelligence technology improve effectiveness vocational college english learning  traditional english learning mode vocational college teacher student spend lot time basic knowledge english due singularity teaching method lack effective student selflearning platform many student consider english learn boring actual learning effect poor emerge edge discipline artificial intelligence cover series topic image recognition pattern recognition robotic natural language understanding expert system simulation application human language intelligence essential progress artificial intelligence technology paper analyze connotation artificial intelligence technology principle natural language understanding sort application advantage artificial intelligence education field finally put forward practical measure adopt artificial intelligence tool input output stage english language learn cp Beijing Information Technology College Journal of Physics: Conference Series Conference Proceeding 0
1,"Chikurtev D.S. information technologies development educational resource robotic  digital learning resource major part distance learning education engineering science training apply often necessary conduct practical exercise necessary create standard digital training resource specific one specific digital educational resource aim provide reproduction real experiment digital virtual tool article discuss ict development standard specific digital resource software tool application create various digital resource application robotic present gazebo robot operating system arduino process technology use create digital resource simulation model gazebo simulator working robot sensor describe create digital resource could use various engineering field robotic embed system software engineering sensor system electronics other resource distribute share internet github well upgrade modify teacher student cp Institute of Information and Communication Technologies, Bulgarian Academy of Sciences IOP Conference Series: Materials Science and Engineering Conference Proceeding 0"
0,Sun T. robotdrlsim real time robot simulation platform reinforcement learn human interactive demonstration learning  deep reinforcement learning drl technique give robotic research ai boost many application order simultaneously accommodate complex robotic behaviour simulation drl algorithm verification new simulation platform namely robotdrlsim propose first design standardize api interface mechanism coordinate diverse environment robotdrlsim platform pybullet simulator equip api form physical engine robotic simulation second benchmark drl model include baseline library evaluation third realtime humanrobot interaction capture import drive robotdrlsim task provide big datastream reinforcement learning experimentation show cuttingedge drl algorithms develop python seamlessly deploy robot human interaction avail training robot robotdrlsim valid efficiently develop drl algorithms artificial intelligence model robot especially suitable robot educational purpose cp Shanghai Jiao Tong University Journal of Physics: Conference Series Conference Proceeding 0
0,Guan Y. novel probabilistic roll regular tetrahedron mechanism  recent relevant publication stochastic motion robot nature science journals research robot gain increase attention however theoretical applied research stochastic motion field robotic mechanism face many challenge due uncertainty stochastic motion currently large gap remain research stochastic motion mechanism study novel mechanism conduct probabilistic rolling propose reach designate position achieve overlie movement particular area mechanism consist regular tetrahedron frame central node four connect linear actuator accord mobility cinematic analyse mechanism implement probabilistic roll rolling gait three probable rolling direction mechanism roll one three direction probability cinematic simulation conduct control method propose basis move path analysis furthermore mathematical principle probabilistic rolling reveal term probability theory statistic lastly prototype fabricate achieve rolling function design linear actuator improve extension ratio increase test conduct m test site mechanism make move reach target position cover site ar Beijing Jiaotong University Frontiers of Mechanical Engineering Journal 0
0,Agarwal H. d print quadcopter  era technological advancement drone quadcopter play important role technology research paper building selfdesigne d print quadcopter d print quadcopter design use professional d designing softwaresolidworks quadcopter d print stratasys fort mc d printing system dayalbagh educational institute aga india fly drone quadcopter type robot design print propeller perfect design send advanced manufacturing laboratory engineering department university guelph ontario canada print se plus d printer find capable printing propeller main advantage self design quadcopter design edit stage accord need available resource also provide flexibility make technological advancement future material propose d printing quadcopter polylactic acid pla cheap hold good durability even light weight crucial develop fly robot programming simulation work do matlab software cp Dayalbagh Educational Institute Lecture Notes in Mechanical Engineering Book Series 0
0,Pan X. combine virtual onsite teaching innovation training robot engineering  innovation training engineer important facet technical education university across china robotic train new course develop use informatizationbase engineering training system engineering innovation practice center harbin institute technology study propose pedagogical method combine virtual onsite mode teaching feedback obtain student enrol course show positive response claim gain valuable knowledge enable carry relevant task well manner quickly feasibility propose scheme verify virtual simulation ar Harbin Institute of Technology U.Porto Journal of Engineering Journal 0
0,Kong J. development of upperlimb patient simulator hanson rehabilitation education  ubiquitous personalized service grow boomingly increasingly large amount traffic generate network massive mobile device result content caching gradually extend network edge provide lowlatency service improve quality service reduce redundant datum traffic compare conventional content delivery network cache edge network small size usually accommodate burst request article propose evolve learningbase content caching policy name pacache edge network adaptively learn timevarye content popularity determine content replace cache full unlike conventional deep neural network inn learn finetune possibly outdate biased prediction model use entire training dataset high computational complexity pacache weigh large set content feature train multiplayer recurrent neural network shallow deep request arrive time extensively evaluate performance propose pacache realworld trace large online videoondemand service provider result show pacache outperform exist popular caching algorithm approximate optimal algorithm performance gap cache percentage pacache also significantly reduce computational cost compare conventional dnnbase approach ar Kyungpook National University IEEE Transactions on Network and Service Management Journal 0
0,He G. report novel bone registration method rapid accurate radiationfree technique computer roboticassiste orthopedic surgery  introduction computer roboticassiste technology recently introduce orthopedic surgery improve accuracy require intraoperative bone registration existing method time consume often inaccurate ndor require bulky costly equipment produce substantial radiation method develop novel method bone registration use compact d structured light surface scanner scan thousand point simultaneously without ionize radiation visible light project specific pattern onto cm area expose bone reform pattern way determine local bone geometry quantitative analysis reconstruct local geometry compare preoperative imaging thereby affect rapid bone registration registration accuracy study use novel method conduct ctscanned femur sawbone simulated exposure typically see kneehip arthroplasty common bone tumor resection registration accuracy technique quantify measure discrepancy know point ie predrille hole bone result technique demonstrate registration accuracy mm compare favorably literaturereported value mm value pairedpoint technique mm intraoperative ct base technique enough report data calculate value conclusion develop novel method bone registration computer roboticassiste surgery use d surface scanning technology rapid compact radiationfree demonstrate increase accuracy compare exist method use historical control ar Stony Brook University Journal of Orthopaedics Journal 0
1,Tselegkaridis S. simulator educational robotic review  educational robotic er seem positive effect student many case may help successfully assimilate knowledge skill thus paper focus er carry literature review educational robotic simulator graphical user interface gun review search relevant paper publish period extract characteristic simulator use simulator describe article cover various robotic technology offer student easy way engage virtual robot robotic mechanism wheel robot drone use simulator student may cover educational need prepare educational robotic competition work realistic possible condition without hardware restriction many case simulator may reduce require cost obtain robotic system increase availability focus educational robotic simulator paper present seventeen simulator emphasize key feature user age robot type programming language development platform capability scope simulator view fulltext re International Hellenic University Education Sciences Journal 0
