doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,openaccess,url,abstract,include?
10.1016/j.micpro.2021.103908,,Three-dimensional simulation of swimming training based on Android mobile system and virtual reality technology,ar,Article,Zhu X.,Wuhan University of Technology,Wuhan,China,Microprocessors and Microsystems,Journal,82,,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0141933121000879?via%3Dihub,"Computer virtual reality technology has emerged in recent years; it is a widely used new technology in many areas. In this study, a three-dimensional simulation of the impact study conducted with the non-slip motion of swimming training channel wall upstream performance. Inertial coordinate system self-propelled swimming is checked directly by forced virtual reality technology. The hydrodynamic performance of previous systems has not been discovered based on simulations of this simple model. To transform the Android mobile phone system into a multi-segment robot with some rigid bodies and similarities. The proposed pre-processing feature of naive Bayesian algorithm analysis is a key technology for classification applications. Virtual reality technology and swimming training can prevent sports injuries and disrupt the binding constraints, and Android phones can enhance the effectiveness of education. The proposed naive Bayes algorithm is based on the study of virtual parameters of tailbeat frequency, followed by phase differences between adjacent body segments and body amplitudes. The effects of lateral and vertical distances between the model body and the swimming performance wall are also discussed. The results provide evidence for the mechanism of thrust generation, and ambient speed and vorticity fields and swimming training show excellent effects in sports.",0
10.1088/1742-6596/1744/4/042122,,Research on Adopting Artificial Intelligence Technology to Improve Effectiveness of Vocational College English Learning,cp,Conference Paper,Hou Z.,Beijing Information Technology College,Beijing,China,Journal of Physics: Conference Series,Conference Proceeding,1744,,0,1,https://iopscience.iop.org/article/10.1088/1742-6596/1744/4/042122,"In the traditional English learning mode of vocational college, teachers and students spend a lot of time on the basic knowledge of English. Due to the singularity of teaching methods and the lack of effective student self-learning platform, many students consider that English learning is boring and the actual learning effect is poor[1-2]. As an emerging edge discipline, artificial intelligence covers a series of topics such as image recognition, pattern recognition, robotics, natural language understanding and expert systems. The simulation and application of human language intelligence is an essential progress of artificial intelligence technology[3]. This paper will analyze the connotation of artificial intelligence technology and its principles of natural language understanding, and sort out the application advantages of artificial intelligence in education field. Finally, it puts forward practical measures of adopting artificial intelligence tools in input and output stages of English language learning[4-5].",0
10.1088/1757-899X/1031/1/012122,,Information technologies for development of educational resources in robotics,cp,Conference Paper,Chikurtev D.S.,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences",Sofia,Bulgaria,IOP Conference Series: Materials Science and Engineering,Conference Proceeding,1031,,0,1,https://iopscience.iop.org/article/10.1088/1757-899X/1031/1/012122,"Digital learning resources are a major part of distance learning in education. In the engineering sciences, where the training is applied and it is often necessary to conduct practical exercises, it is necessary to create both standard digital training resources and specific ones. Specific digital educational resources aim to provide a reproduction of real experiments, through digital and virtual tools. The article discusses ICT for the development of standard and specific digital resources. Software tools and applications for creating various digital resources with application in robotics are presented: Gazebo, Robot Operating System, Arduino. The process and the technologies used to create a digital resource (simulation model) through a Gazebo simulator for working with robots and sensors are described. The created digital resource could be used in various engineering fields such as robotics, embedded systems, software engineering, sensor systems, electronics and others. The resource can be distributed and shared over the Internet (Github), as well as upgraded (modified) by teachers and students.",1
10.1088/1742-6596/1746/1/012035,,RobotDrlSim: A Real Time Robot Simulation Platform for Reinforcement Learning and Human Interactive Demonstration Learning,cp,Conference Paper,Sun T.,Shanghai Jiao Tong University,Shanghai,China,Journal of Physics: Conference Series,Conference Proceeding,1746,,0,1,https://iopscience.iop.org/article/10.1088/1742-6596/1746/1/012035,"Deep reinforcement learning (DRL) techniques give robotics research an AI boost in many applications. In order to simultaneously accommodate the complex robotic behaviour simulation and DRL algorithm verification, a new simulation platform, namely the RobotDrlSim, is proposed.

First, we design a standardized API interfacing mechanism for coordinating diverse environments on RobotDrlSim platform, where PyBullet simulator is equipped with an API to form a physical engine for robotics simulation. Second, benchmark DRL models are included in the baseline library for evaluation. Third, real-time human-robot interactions can be captured and imported to drive the RobotDrlSim tasks, which provide big data-stream for reinforcement learning. Experimentations show that cutting-edge DRL algorithms developed in python can be seamlessly deployed to the robots, and human interactions can be availed in training the robots. RobotDrlSim is valid for efficiently developing DRL algorithms for artificial intelligence models of robots, and it is especially suitable for the robot educational purposes.",0
10.1007/s11465-020-0628-9,,Novel probabilistic rolling regular tetrahedron mechanism,ar,Article,Guan Y.,Beijing Jiaotong University,Beijing,China,Frontiers of Mechanical Engineering,Journal,,,0,0,https://link.springer.com/article/10.1007%2Fs11465-020-0628-9,"With recent relevant publications on stochastic motion robots in Nature, Science, and other journals, research on such robots has gained increasing attention. However, theoretical and applied research on stochastic motion in the field of robotics and mechanisms face many challenges due to the uncertainty of stochastic motion. Currently, a large gap remains in the research of stochastic motion mechanism. In this study, a novel mechanism that can conduct probabilistic rolling is proposed to reach a designated position and achieve overlying movement over a particular area. The mechanism consists of a regular tetrahedron frame, a central node, and four connecting linear actuators. According to mobility and kinematic analyses, the mechanism can implement probabilistic rolling. Each rolling gait has three probable rolling directions, and the mechanism rolls in one of the three directions in probability. A kinematic simulation is conducted, and a control method is proposed on the basis of the moving path analysis. Furthermore, the mathematical principle of probabilistic rolling is revealed in terms of probability theory and statistics. Lastly, a prototype is fabricated. To achieve the rolling function, the design of the linear actuators is improved, and the extension ratio is increased from 0.58 to 1.13. Then, tests are conducted. In a 4 m2 test site, the mechanism makes 11 moves to reach the target position and covers 29.25% of the site.",0
10.1007/978-981-15-8025-3_48,,3D Printed Quadcopter,cp,Conference Paper,Agarwal H.,Dayalbagh Educational Institute,Agra,India,Lecture Notes in Mechanical Engineering,Book Series,,491-499,0,0,https://link.springer.com/chapter/10.1007%2F978-981-15-8025-3_48,"In the era of technological advancement, drones and quadcopters are playing an important role in technology. This research paper is about building a self-designed, 3D printed quadcopter. This 3D printed quadcopter is designed using a professional 3D designing software—SolidWorks. This quadcopter will be 3D printed on the Stratasys Fortus 400mc 3D printing system at Dayalbagh Educational Institute, Agra, India. For flying any such drone or quadcopter type robot, the design and print of the propellers should be perfect for which the design was sent to Advanced Manufacturing Laboratory, Engineering Department of University of Guelph, Ontario, Canada. Uprint SE Plus 3D Printer is found capable of printing propellers. The main advantage of self- designing the quadcopter is that its design can be edited at any stage according to the need and available resources. It also provides flexibility for making technological advancements in future. The material proposed for 3D printing of this quadcopter, polylactic acid (PLA), is cheap and holds a good durability even having light weight, which is crucial of developing a flying robot. The programming and simulation work are done on MATLAB software.",0
10.24840/2183-6493_007.001_0004,,Combining virtual and on-site teaching for innovation training in robot engineering,ar,Article,Pan X.,Harbin Institute of Technology,Harbin,China,U.Porto Journal of Engineering,Journal,7,16-23,0,1,https://journalengineering.fe.up.pt/article/view/2183-6493_007.001_0004,"Innovation training in engineering is an important facet of technical education in universities across China. Robotics training is a new course that has been developed using an informatization-based engineering training system at the Engineering Innovation Practice Center of the Harbin Institute of Technology. In this study, we propose a pedagogical method that combines virtual and on-site modes of teaching. Feedback obtained from students enrolled in the course showed a positive response to it. They claimed that they gained valuable knowledge from it that enabled them to carry out the relevant tasks in a better manner and more quickly. The feasibility of the proposed scheme was verified by a virtual simulation.",0
10.1109/TNSM.2021.3053645,,Development of 6 DOF Upper-limb Patient Simulator for Hands-on Rehabilitation Education,ar,Article,Kong J.,Kyungpook National University,Daegu,South Korea,IEEE Transactions on Network and Service Management,Journal,,,0,0,https://ieeexplore.ieee.org/document/9333587,"As ubiquitous and personalized services are growing boomingly, an increasingly large amount of traffic is generated over the network by massive mobile devices. As a result, content caching is gradually extending to network edges to provide low-latency services, improve quality of service, and reduce redundant data traffic. Compared to the conventional content delivery networks, caches in edge networks with smaller sizes usually have to accommodate more bursty requests. In this article, we propose an evolving learning-based content caching policy, named PA-Cache in edge networks. It adaptively learns time-varying content popularity and determines which contents should be replaced when the cache is full. Unlike conventional deep neural networks (DNNs), which learn a fine-tuned but possibly outdated or biased prediction model using the entire training dataset with high computational complexity, PA-Cache weighs a large set of content features and trains the multi-layer recurrent neural network from shallow to deeper when more requests arrive over time. We extensively evaluate the performance of our proposed PA-Cache on real-world traces from a large online video-on-demand service provider. The results show that PA-Cache outperforms existing popular caching algorithms and approximates the optimal algorithm with only a 3.8% performance gap when the cache percentage is 1.0%. PA-Cache also significantly reduces the computational cost compared to conventional DNN-based approaches.",0
10.1016/j.jor.2021.01.010,,"Report on a novel bone registration method: A rapid, accurate, and radiation-free technique for computer- and robotic-assisted orthopedic surgeries",ar,Article,He G.,Stony Brook University,Stony Brook,United States,Journal of Orthopaedics,Journal,23,227-232,0,0,https://www.sciencedirect.com/science/article/pii/S0972978X21000106?via%3Dihub,"Introduction

Computer- and robotic-assisted technologies have recently been introduced into orthopedic surgery to improve accuracy. Each requires intraoperative “bone registration,” but existing methods are time consuming, often inaccurate, and/or require bulky and costly equipment that produces substantial radiation.

Methods

We developed a novel method of bone registration using a compact 3D structured light surface scanner that can scan thousands of points simultaneously without any ionizing radiation.

Visible light is projected in a specific pattern onto a 3 × 3 cm2 area of exposed bone, which deforms the pattern in a way determined by the local bone geometry. A quantitative analysis reconstructs this local geometry and compares it to the preoperative imaging, thereby effecting rapid bone registration.

A registration accuracy study using our novel method was conducted on 24 CT-scanned femur Sawbones®. We simulated exposures typically seen during knee/hip arthroplasty and common bone tumor resections. The registration accuracy of our technique was quantified by measuring the discrepancy of known points (i.e., pre-drilled holes) on the bone.

Results

Our technique demonstrated a registration accuracy of 0.44 ± 0.22 mm. This compared favorably with literature-reported values of 0.68 ± 0.14 mm (p-value = 0.001) for the paired-point technique13 and 0.86 ± 0.38 mm for the intraoperative CT based techniques 14 (not enough reported data to calculate p-value).

Conclusion

We have developed a novel method of bone registration for computer and robotic-assisted surgery using 3D surface scanning technology that is rapid, compact, and radiation-free. We have demonstrated increased accuracy compared to existing methods (using historical controls).",0
10.3390/educsci11010011,,Simulators in educational robotics: A review,re,Review,Tselegkaridis S.,International Hellenic University,Thermi,Greece,Education Sciences,Journal,11,1-dic,0,1,https://www.mdpi.com/2227-7102/11/1/11,"Educational robotics (ER) seems to have a positive effect on students and, in many cases, might help them to successfully assimilate knowledge and skills. Thus, this paper focuses on ER and carries out a literature review on educational robotics simulators with Graphical User Interfaces (GUIs). The review searches for relevant papers which were published in the period 2013–2020 and extracted the characteristics of the simulators used. The simulators that we describe in this article cover various robotic technologies, offering students an easy way to engage with virtual robots and robotics mechanisms, such as wheeled robots or drones. Using these simulators, students might cover their educational needs or prepare themselves for educational robotic competitions by working in as realistic as possible conditions without hardware restrictions. In many cases, simulators might reduce the required cost to obtain a robotic system and increase availability. Focusing on educational robotics simulators, this paper presents seventeen simulators emphasizing key features such as: user’s age, robot’s type and programming language, development platform, capabilities, and scope of the simulator. View Full-Text",1
