doi,subtype,creator,affilname,publicationName,aggregationType,include?,proc_pubmed_id,proc_abstract,proc_title
10.1016/j.micpro.2021.103908,ar,Zhu X.,Wuhan University of Technology,Microprocessors and Microsystems,Journal,0.0,0,comput virtual realiti technolog emerg recent year wide use new technolog mani area studi threedimension simul impact studi conduct nonslip motion swim train channel wall upstream perform inerti coordin system selfpropel swim check direct forc virtual realiti technolog hydrodynam perform previous system discov base simul simpl model transform android mobil phone system multiseg robot rigid bodi similar propos preprocess featur naiv bayesian algorithm analysi key technolog classif applic virtual realiti technolog swim train prevent sport injuri disrupt bind constraint android phone enhanc effect educ propos naiv base algorithm base studi virtual paramet tailbeat frequenc follow phase differ adjac bodi segment bodi amplitud effect later vertic distanc model bodi swim perform wall also discuss result provid evid mechan thrust generat ambient speed vortic field swim train show excel effect sport,threedimension simul swim train base android mobil system virtual realiti technolog
10.1088/1742-6596/1744/4/042122,cp,Hou Z.,Beijing Information Technology College,Journal of Physics: Conference Series,Conference Proceeding,0.0,0,tradit english learn mode vocat colleg teacher student spend lot time basic knowledg english due singular teach method lack effect student selflearn platform mani student consid english learn bore actual learn effect poor emerg edg disciplin artifici intellig cover seri topic imag recognit pattern recognit robot natur languag understand expert system simul applic human languag intellig essenti progress artifici intellig technolog paper analyz connot artifici intellig technolog principl natur languag understand sort applic advantag artifici intellig educ field final put forward practic measur adopt artifici intellig tool input output stage english languag learn,research adopt artifici intellig technolog improv effect vocat colleg english learn
10.1088/1757-899X/1031/1/012122,cp,Chikurtev D.S.,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences",IOP Conference Series: Materials Science and Engineering,Conference Proceeding,1.0,0,digit learn resourc major part distanc learn educ engin scienc train appli often necessari conduct practic exercis necessari creat standard digit train resourc specif one specif digit educ resourc aim provid reproduct real experi digit virtual tool articl discuss ict develop standard specif digit resourc softwar tool applic creat various digit resourc applic robot present gazebo robot oper system arduino process technolog use creat digit resourc simul model gazebo simul work robot sensor describ creat digit resourc could use various engin field robot embed system softwar engin sensor system electron other resourc distribut share internet github well upgrad modifi teacher student,inform technolog develop educ resourc robot
10.1088/1742-6596/1746/1/012035,cp,Sun T.,Shanghai Jiao Tong University,Journal of Physics: Conference Series,Conference Proceeding,0.0,0,deep reinforc learn drl techniqu give robot research ai boost mani applic order simultan accommod complex robot behaviour simul drl algorithm verif new simul platform name robotdrlsim propos first design standard api interfac mechan coordin divers environ robotdrlsim platform pybullet simul equip api form physic engin robot simul second benchmark drl model includ baselin librari evalu third realtim humanrobot interact captur import drive robotdrlsim task provid big datastream reinforc learn experiment show cuttingedg drl algorithm develop python seamless deploy robot human interact avail train robot robotdrlsim valid effici develop drl algorithm artifici intellig model robot especi suitabl robot educ purpos,robotdrlsim real time robot simul platform reinforc learn human interact demonstr learn
10.1007/s11465-020-0628-9,ar,Guan Y.,Beijing Jiaotong University,Frontiers of Mechanical Engineering,Journal,0.0,0,recent relev public stochast motion robot natur scienc journal research robot gain increas attent howev theoret appli research stochast motion field robot mechan face mani challeng due uncertainti stochast motion current larg gap remain research stochast motion mechan studi novel mechan conduct probabilist roll propos reach design posit achiev over movement particular area mechan consist regular tetrahedron frame central node four connect linear actuat accord mobil cinemat analys mechan implement probabilist roll roll gait three probabl roll direct mechan roll one three direct probabl cinemat simul conduct control method propos basi move path analysi furthermor mathemat principl probabilist roll reveal term probabl theori statist last prototyp fabric achiev roll function design linear actuat improv extens ratio increas test conduct m test site mechan make move reach target posit cover site,novel probabilist roll regular tetrahedron mechan
10.1007/978-981-15-8025-3_48,cp,Agarwal H.,Dayalbagh Educational Institute,Lecture Notes in Mechanical Engineering,Book Series,0.0,0,era technolog advanc drone quadcopt play import role technolog research paper build selfdesign d print quadcopt d print quadcopt design use profession d design softwaresolidwork quadcopt d print stratasi fort mc d print system dayalbagh educ institut aga india fli drone quadcopt type robot design print propel perfect design sent advanc manufactur laboratori engin depart univers guelph ontario canada print se plus d printer found capabl print propel main advantag self design quadcopt design edit stage accord need avail resourc also provid flexibl make technolog advanc futur materi propos d print quadcopt polylact acid pla cheap hold good durabl even light weight crucial develop fli robot program simul work done matlab softwar,d print quadcopt
10.24840/2183-6493_007.001_0004,ar,Pan X.,Harbin Institute of Technology,U.Porto Journal of Engineering,Journal,0.0,0,innov train engin import facet technic educ univers across china robot train new cours develop use informatizationbas engin train system engin innov practic center harbin institut technolog studi propos pedagog method combin virtual onsit mode teach feedback obtain student enrol cours show posit respons it claim gain valuabl knowledg enabl carri relev task better manner quick feasibl propos scheme verifi virtual simul,combin virtual onsit teach innov train robot engin
10.1109/TNSM.2021.3053645,ar,Kong J.,Kyungpook National University,IEEE Transactions on Network and Service Management,Journal,0.0,0,ubiquit person servic grow boom increas larg amount traffic generat network massiv mobil devic result content cach gradual extend network edg provid lowlat servic improv qualiti servic reduc redund data traffic compar convent content deliveri network cach edg network smaller size usual accommod burst request articl propos evolv learningbas content cach polici name pacach edg network adapt learn timevari content popular determin content replac cach full unlik convent deep neural network inn learn finetun possibl outdat bias predict model use entir train dataset high comput complex pacach weigh larg set content featur train multiplay recurr neural network shallow deeper request arriv time extens evalu perform propos pacach realworld trace larg onlin videoondemand servic provid result show pacach outperform exist popular cach algorithm approxim optim algorithm perform gap cach percentag pacach also signific reduc comput cost compar convent dnnbase approach,develop of upperlimb patient simul hanson rehabilit educ
10.1016/j.jor.2021.01.010,ar,He G.,Stony Brook University,Journal of Orthopaedics,Journal,0.0,0,introduct comput roboticassist technolog recent introduc orthoped surgeri improv accuraci requir intraop bone registr exist method time consum often inaccur ndor requir bulki cost equip produc substanti radiat method develop novel method bone registr use compact d structur light surfac scanner scan thousand point simultan without ioniz radiat visibl light project specif pattern onto cm area expos bone reform pattern way determin local bone geometri quantit analysi reconstruct local geometri compar preoper imag therebi affect rapid bone registr registr accuraci studi use novel method conduct ctscan femur sawbon simul exposur typic seen kneehip arthroplasti common bone tumor resect registr accuraci techniqu quantifi measur discrep known point ie predril hole bone result techniqu demonstr registr accuraci mm compar favor literaturereport valu mm valu pairedpoint techniqu mm intraop ct base techniqu enough report data calcul valu conclus develop novel method bone registr comput roboticassist surgeri use d surfac scan technolog rapid compact radiationfre demonstr increas accuraci compar exist method use histor control,report novel bone registr method rapid accur radiationfre techniqu comput roboticassist orthoped surgeri
10.3390/educsci11010011,re,Tselegkaridis S.,International Hellenic University,Education Sciences,Journal,1.0,0,educ robot er seem posit effect student mani case might help success assimil knowledg skill thus paper focus er carri literatur review educ robot simul graphic user interfac gun review search relev paper publish period extract characterist simul use simul describ articl cover various robot technolog offer student easi way engag virtual robot robot mechan wheel robot drone use simul student might cover educ need prepar educ robot competit work realist possibl condit without hardwar restrict mani case simul might reduc requir cost obtain robot system increas avail focus educ robot simul paper present seventeen simul emphas key featur user age robot type program languag develop platform capabl scope simul view fulltext,simul educ robot review
