eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,abstract,include?
2-s2.0-84872723602,10.5755/j01.eee.18.9.2825,,,The LEGO NXT robot-based e-learning environment to teach computer science topics,ar,Article,Burbaite R.,,Kaunas University of Technology,Kaunas,Lithuania,,,,,2012-12-01,2012,Elektronika ir Elektrotechnika,13921215,19900193212,,Journal,18,9,,113-116,,,12,1,,,,"It is difficult to motivate learners to learn abstract Computer Science topics (e.g., data structures, algorithms and programming) with the adequate level of engagement. We present the process of constructing a LEGO robot, called the DRAWBOT (drawing robot), which enables to create the e-learning environment to demonstrate visually the solution of graph-based Computer Science tasks through teaching programming. Our research has confirmed the importance of using robot-based environments for teaching that was known so far in the literature on e-learning. We have extended the known approaches: a) by providing technical characteristics for the process to create the e-learning environment for the real setting; b) by smoothly integrating different phases of the process and considering it into entirety to support the constructivist learning model.

DOI: http://dx.doi.org/10.5755/j01.eee.18.9.2825",SI
2-s2.0-84870861362,10.1080/03043797.2012.725711,,,Embedded C programming: A practical course introducing programmable microprocessors,ar,Article,Laverty D.,,Queen's University Belfast,Belfast,United Kingdom,,,,,2012-12-01,December 2012,European Journal of Engineering Education,03043797,11300153314,14695898,Journal,37,6,,557-574,,,3,0,,,,"This paper presents a new laboratory-based module for embedded systems teaching, which addresses the current lack of consideration for the link between hardware development, software implementation, course content and student evaluation in a laboratory environment. The course introduces second year undergraduate students to the interface between hardware and software and the programming of embedded devices; in this case, the PIC (originally peripheral interface controller, later rebranded programmable intelligent computer) microcontroller. A hardware development board designed for use in the laboratories of this module is presented. Through hands on laboratory experience, students are encouraged to engage with practical problem-solving exercises and develop programming skills across a broad range of scenarios.",NO
2-s2.0-84864477631,10.1016/j.eswa.2012.04.038,S0957417412006355,,Adaptability analysis of genetic network programming with reinforcement learning in dynamically changing environments,ar,Article,Mabu S.,,Waseda University,Tokyo,Japan,,,,,2012-11-15,15 November 2012,Expert Systems with Applications,09574174,24201,,Journal,39,16,,12349-12357,,,10,0,,,,"Genetic network programming (GNP) has been proposed as one of the evolutionary algorithms and extended with reinforcement learning (GNP-RL). The combination of evolution and learning can efficiently evolve programs and the fitness improvement has been confirmed in the simulations of tileworld problems, elevator group supervisory control systems, stock trading models and wall following behavior of Khepera robot. However, its adaptability in testing environments, where the situations dynamically change, has not been analyzed in detail yet. In this paper, the adaptation mechanism in the testing environment is introduced and it is confirmed that GNP-RL can adapt to the environmental changes using a robot simulator WEBOTS, especially when unexperienced sensor troubles suddenly occur. The simulation results show that GNP-RL works well in the testing even if wrong sensor information is given because GNP-RL has a function to automatically change programs using alternative actions. In addition, the analysis on the effects of the parameters of GNP-RL is carried out in both training and testing simulations.

Highlights

► We proposed an adaptive learning mechanism using reinforcement learning. ► The adaptability is examined when some sensors are suddenly broken. ► Faulty sensors are indirectly detected through the changes of Q values. ► The size of Q table is compact, so the quick recovery from troubles is possible.",NO
2-s2.0-84866405210,10.1080/01691864.2012.703167,,,Learning manipulation tasks from human demonstration and 3D shape segmentation,ar,Article,Aleotti J.,,Università di Parma,Parma,Italy,,,,,2012-11-01,1 November 2012,Advanced Robotics,01691864,18003,15685535,Journal,26,16,,1863-1884,,,5,0,,,,"According to neuro-psychology studies, 3D shape segmentation plays an important role in human perception of objects because when an object is perceived for grasping it is first parsed in its constituent parts. This capability is missing in current robot planning systems, which are therefore hindered in their ability to plan part-specific grasps suitable for the current task. In this paper, a novel approach for part-based grasping is presented that combines 3D shape segmentation, programing by human demonstration and manipulation planning. The central advantage over previous approaches is the use of a topological method for shape segmentation enabling both object categorization and robot grasping according to the affordances of an object. Manipulation tasks are demonstrated in a virtual reality environment using a data glove and a motion tracker, and the specific parts of the objects where grasping occurs are learned and encoded in the task description. Tasks are then planned and executed in a robot environment targeting semantically relevant parts for grasping. Planning in the robot environment can be generalized to objects that are similar to the ones used for task demonstration, i.e. objects that belong to the same category. Results obtained in 3D simulation confirm that the proposed approach finds with less effort grasps appropriate for the requested task.",NO
2-s2.0-84868030296,10.5772/50827,,,Combining vision learning and interaction for mobile robot path planning,ar,Article,Bao J.,,Yangzhou University;Southeast University,Yangzhou;Nanjing,China;China,,,,,2012-10-04,4 October 2012,International Journal of Advanced Robotic Systems,17298806,144749,17298814,Journal,9,,104,,,,5,1,,,,"This paper addresses the question of how to make a robot learn natural terrain selectively and use the knowledge to estimate the terrain for planning an optimal path. A scheme which combines vision learning and interaction is proposed. The vision learning module employs an online boosting learning algorithm to constantly receive and learn the terrain samples each of which comprise the visual features extracted from the sub terrain region image and the traversability measured by the onboard Inertia Measurement Unit (IMU). Using this knowledge, the robot could estimate the new terrains and search for the optimal path to travel using the particle swarm optimization method. To overcome the shortcoming that the robot could not understand the intricate environment exactly, the vision interaction method, which complements the robot's capacity of terrain estimation with the human reasoning ability of path correction, is further applied. Experimental results show the effectiveness of the proposed method.",NO
2-s2.0-84867573740,10.1007/s11370-012-0118-y,,,Caesar: An intelligent domestic service robot,ar,Article,Schiffer S.,,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,,,,,2012-10-01,October 2012,Intelligent Service Robotics,18612776,9500154152,18612784,Journal,5,4,,259-273,,,34,0,,,,"In this paper we present CAESAR, an intelligent domestic service robot. In domestic settings for service robots complex tasks have to be accomplished. Those tasks benefit from deliberation, from robust action execution and from flexible methods for human–robot interaction that account for qualitative notions used in natural language as well as human fallibility. Our robot CAESAR deploys AI techniques on several levels of its system architecture. On the low-level side, system modules for localization or navigation make, for instance, use of path-planning methods, heuristic search, and Bayesian filters. For face recognition and human–machine interaction, random trees and well-known methods from natural language processing are deployed. For deliberation, we use the robot programming and plan language READYLOG, which was developed for the high-level control of agents and robots; it allows combining programming the behaviour using planning to find a course of action. READYLOG is a variant of the robot programming language Golog. We extended READYLOG to be able to cope with qualitative notions of space frequently used by humans, such as “near” and “far”. This facilitates human–robot interaction by bridging the gap between human natural language and the numerical values needed by the robot. Further, we use READYLOG to increase the flexible interpretation of human commands with decision-theoretic planning. We give an overview of the different methods deployed in CAESAR and show the applicability of a system equipped with these AI techniques in domestic service robotics.",NO
2-s2.0-84859049364,10.1016/j.rcim.2012.02.007,S0736584512000191,,Task-oriented motion planning for multi-arm robotic systems,ar,Article,Basile F.,,Università degli Studi di Salerno,Salerno,Italy,,,,,2012-10-01,October 2012,Robotics and Computer-Integrated Manufacturing,07365845,18080,,Journal,28,5,,569-582,,,57,0,,,,"In this paper a task-oriented motion planning approach for general cooperative multi-robot systems is proposed. In order to derive a meaningful task formulation, a taxonomy of cooperative multi-arm systems of industrial interest is devised. Then, a workpiece-oriented general formulation for cooperative tasks is proposed, where the user is asked to specify the motion of the system only at the workpiece level, while the motion of the single arms in the system is computed via kinematic transformations between the relevant coordinate frames. Based on this task formulation, an instructions set is derived to extend classical programming languages for industrial robots to general multi-robot systems. In order to test the approach, a software environment has been built, composed of an interpreter of the language and the motion planning software.

Highlights

► A taxonomy of cooperative multi-arm systems of industrial interest is devised. ► A workpiece-oriented general formulation for multi-arm cooperative tasks is developed. ► An instructions set is derived to extend robot programming languages to multi-arm systems.",NO
2-s2.0-84865733668,10.1007/978-3-642-32060-6_13,,,Learning visual obstacle detection using color histogram features,ar,Article,Metzler S.,,Universität Bonn,Bonn,Germany,,,,,2012-09-10,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),03029743,25674,16113349,Book Series,7416 LNCS,,,149-161,,,15,0,,,,"Perception of the environment is crucial in terms of successfully playing soccer. Especially the detection of other players improves game play skills, such as obstacle avoidance and path planning. Such information can help refine reactive behavioral strategies, and is conducive to team play capabilities. Robot detection in the RoboCup Standard Platform League is particularly challenging as the Nao robots are limited in computing resources and their appearance is predominantly white in color like the field lines.

This paper describes a vision-based multilevel approach which is integrated into the B-Human Software Framework and evaluated in terms of speed and accuracy. On the basis of color segmented images, a feed-forward neural network is trained to discriminate between robots and non-robots. The presented algorithm initially extracts image regions which potentially depict robots and prepares them for classification. Preparation comprises calculation of color histograms as well as linear interpolation in order to obtain network inputs of a specific size. After classification by the neural network, a position hypothesis is generated.",NO
2-s2.0-84867876487,10.1109/JOE.2012.2205638,,,COLA2: A control architecture for AUVs,ar,Article,Palomeras N.,,Universitat de Girona,Girona,Spain,,,,,2012-08-15,2012,IEEE Journal of Oceanic Engineering,03649059,17277,,Journal,37,4,6263248,695-716,,,59,0,,,,"This paper presents a control architecture for an autonomous underwater vehicle (AUV) named the Component Oriented Layer-based Architecture for Autonomy (COLA2). The proposal implements a component-oriented layer-based control architecture structured in three layers: the reactive layer, the execution layer, and the mission layer. Concerning the reactive layer, to improve the vehicle primitives' adaptability to unknown changing environments, reinforcement learning (RL) techniques have been programmed. Starting from a learned-in-simulation policy, the RL-based primitive cableTracking has been trained to follow an underwater cable in a real experiment inside a water tank using the Ictineu AUV. The execution layer implements a discrete event system (DES) based on Petri nets (PNs). PNs have been used to safely model the primitives' execution flow by means of Petri net building block (PNBBs) that have been designed according to some reachability properties showing that it is possible to compose them preserving these qualities. The mission layer describes the mission phases using a high-level mission control language (MCL), which is automatically compiled into a PN. The MCL presents agreeable properties of simplicity and structured programming. MCL can be used to describe offline imperative missions or to describe planning operators, in charge of solving a particular phase of a mission. If planning operators are defined, an onboard planner will be able to sequence them to achieve the proposed goals. The whole architecture has been validated in a cable tracking mission divided in two main phases. First, the cableTracking primitive of the reactive layer has been trained to follow a cable in a water tank with the Ictineu AUV, one of the research platforms available in the Computer Vision and Robotics Group (VICOROB), University of Girona, Girona, Spain. Second, the whole architecture has been proved in a realistic simulation of a whole cable tracking mission.
(Show More)",NO
2-s2.0-84864475487,10.1177/0278364912438781,,,Learning to place new objects in a scene,ar,Article,Jiang Y.,,Cornell University,Ithaca,United States,,,,,2012-08-01,August 2012,International Journal of Robotics Research,02783649,18050,17413176,Journal,31,9,,1021-1043,,,90,0,,,,"Placing is a necessary skill for a personal robot to have in order to perform tasks such as arranging objects in a disorganized room. The object placements should not only be stable but also be in their semantically preferred placing areas and orientations. This is challenging because an environment can have a large variety of objects and placing areas that may not have been seen by the robot before. In this paper, we propose a learning approach for placing multiple objects in different placing areas in a scene. Given point-clouds of the objects and the scene, we design appropriate features and use a graphical model to encode various properties, such as the stacking of objects, stability, object–area relationship and common placing constraints. The inference in our model is an integer linear program, which we solve efficiently via an linear programming relaxation. We extensively evaluate our approach on 98 objects from 16 categories being placed into 40 areas. Our robotic experiments show a success rate of 98% in placing known objects and 82% in placing new objects stably. We use our method on our robots for performing tasks such as loading several dish-racks, a bookshelf and a fridge with multiple items.",NO
